player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Chris Leak,Florida,,3,2003,2006,895.0,1458.0,61.4,11213.0,88.0,42.0,1769.0,11350.0,101.0,,,,,
Carson Palmer,USC,,4,1998,2002,895.0,1515.0,,11388.0,71.0,49.0,1758.0,11289.0,80.0,,,,,
Sefo Liufau,Colorado,,3,2013,2016,888.0,1412.0,62.9,9763.0,,,1793.0,10702.0,,,,,,
John Beck,Brigham Young,,3,2003,2006,885.0,1418.0,62.4,11021.0,79.0,,1685.0,11059.0,88.0,,,,256.3,
Charlie Brewer,Liberty,,5,2017,2022,884.0,1396.0,63.3,10236.0,68.0,,1867.0,11314.0,90.0,,,,,
Drew Lock,Missouri,,3,2015,2018,883.0,1553.0,,12193.0,99.0,,1756.0,12630.0,109.0,,,13.8,243.9,7.2
Gino Guidugli,Cincinnati,,3,2001,2004,880.0,1556.0,,11453.0,78.0,48.0,1791.0,11661.0,83.0,,,,243.7,
Riley Neal,Vanderbilt,,4,2015,2019,880.0,1477.0,,,,,1855.0,10399.0,,,,,,
Cody Fajardo,Nevada,,3,2011,2014,878.0,1348.0,65.1,9659.0,,,1984.0,13141.0,101.0,,,,,6.6
Thaddeus Lewis,Duke,,3,2006,2009,877.0,1510.0,,10065.0,67.0,40.0,1860.0,9987.0,,,,,,
Tim Lester,Western Michigan,,3,1996,1999,875.0,1507.0,,11299.0,87.0,49.0,1747.0,11272.0,91.0,,,,256.8,
David Blough,Purdue,,3,2015,2018,871.0,1429.0,,9734.0,69.0,43.0,1693.0,9996.0,83.0,,,,,
Erik Wilhelm,Oregon State,,3,1985,1988,870.0,1480.0,,9393.0,,61.0,1689.0,,,,,,,
Peyton Manning,Tennessee,147.1,3,1994,1997,863.0,1381.0,62.5,11201.0,89.0,,1534.0,11020.0,101.0,8.1,8.3,,248.9,7.2
Mike White,Western Kentucky,,4,2013,2017,863.0,1393.0,62.0,11262.0,74.0,,1529.0,10792.0,80.0,8.1,8.1,,256.0,7.1
Jared Lorenzen,Kentucky,,3,2000,2003,862.0,1514.0,,10354.0,78.0,41.0,1793.0,10637.0,90.0,,,,240.8,
Layne Hatcher,Ball State,,4,2019,2023,860.0,1386.0,62.0,10662.0,88.0,,1628.0,10465.0,92.0,,,,,
Dorian Thompson-Robinson,UCLA,145.6,4,2018,2022,860.0,1359.0,63.3,10710.0,88.0,,1830.0,12536.0,116.0,,,,,6.9
Patrick Mahomes,Texas Tech,152.0,2,2014,2016,857.0,1349.0,63.5,11252.0,93.0,,1657.0,12072.0,115.0,8.3,8.8,,351.6,7.3
Jack Plummer,Louisville,,4,2019,2023,857.0,1338.0,64.1,9728.0,68.0,,1593.0,9710.0,,,,,,
Ben Roethlisberger,Miami (OH),151.3,2,2001,2003,854.0,1304.0,65.5,10829.0,84.0,,1573.0,11075.0,91.0,8.3,8.4,,285.0,7.0
Carson Strong,Nevada,147.4,3,2018,2021,852.0,1252.0,68.1,9368.0,74.0,,,,,,,,292.8,
Cody Kessler,USC,156.4,3,2012,2015,851.0,1261.0,67.5,10339.0,88.0,,,9914.0,95.0,8.2,8.9,,,7.0
Jordan Palmer,UTEP,,3,2003,2006,851.0,1427.0,,11084.0,88.0,64.0,1643.0,11041.0,95.0,,,,241.0,6.7
Tanner Mordecai,Wisconsin,148.7,5,2018,2023,850.0,1281.0,66.4,9857.0,85.0,,1519.0,10463.0,93.0,,8.1,,,6.9
David Greene,Georgia,,3,2001,2004,849.0,1440.0,,11528.0,72.0,,1644.0,11270.0,,,,,,6.9
Drew Willy,Buffalo,,3,2005,2008,849.0,1322.0,64.2,,,,1597.0,,,,,,,
Alex Brink,Washington State,,3,2004,2007,848.0,1451.0,,10913.0,76.0,43.0,1697.0,11011.0,82.0,,,,237.2,
Gunnar Watson,Troy,,5,2018,2023,846.0,1337.0,63.3,10275.0,,,1510.0,9848.0,,,,,,
Brennan Armstrong,North Carolina State,,5,2018,2023,845.0,1393.0,,10819.0,69.0,42.0,1899.0,12751.0,97.0,,,,,6.7
Alex Van Pelt,Pitt,,3,1989,1992,845.0,1463.0,,10913.0,,59.0,1570.0,10814.0,,,,,242.5,6.9
Paul Pinegar,Fresno State,,3,2002,2005,842.0,1405.0,,10136.0,84.0,49.0,1605.0,10145.0,92.0,,,,,
Davis Webb,California,,3,2013,2016,841.0,1367.0,61.5,9852.0,83.0,,,9752.0,92.0,,,,281.5,6.8
Ryan Schneider,UCF,,3,2000,2003,840.0,1354.0,62.0,10976.0,82.0,51.0,,10703.0,89.0,8.1,,,281.4,7.3
Eric Zeier,Georgia,,3,1991,1994,838.0,1402.0,,11153.0,67.0,,1560.0,10841.0,,,,,253.5,6.9
Brett Hundley,UCLA,150.8,2,2012,2014,837.0,1241.0,67.4,9966.0,75.0,,1720.0,11713.0,106.0,,8.3,,249.2,6.8
Ryan Griffin,Tulane,,3,2009,2012,836.0,1396.0,,,,,1545.0,,,,,,,
Brad Smith,Missouri,,3,2002,2005,835.0,1484.0,,,,,2283.0,13088.0,102.0,,,,,
Sean Clifford,Penn State,,4,2018,2022,833.0,1356.0,61.4,10661.0,86.0,,1744.0,11734.0,101.0,,8.1,,,6.7
Steve Stenstrom,Stanford,,3,1991,1994,833.0,1320.0,63.1,10531.0,72.0,,1541.0,9825.0,,,,,244.9,
Chase Clement,Rice,,3,2005,2008,832.0,1387.0,,9785.0,99.0,,1857.0,11526.0,125.0,,,,,
P.J. Walker,Temple,,3,2013,2016,831.0,1459.0,,10669.0,74.0,44.0,1801.0,11432.0,83.0,,,,,
Hank Bachmeier,Wake Forest,,5,2019,2024,830.0,1315.0,63.1,9976.0,,,1547.0,10135.0,,,,,232.0,
Trevone Boykin,TCU,,3,2012,2015,830.0,1356.0,61.2,10728.0,86.0,,1863.0,12777.0,114.0,,,,,6.9
Eli Manning,Ole Miss,,3,2000,2003,829.0,1363.0,,10119.0,81.0,,,9984.0,86.0,,,,235.3,6.7
Chad Henne,Michigan,,3,2004,2007,828.0,1387.0,,9715.0,87.0,,1567.0,,90.0,,,,,
Justin Herbert,Oregon,153.1,3,2016,2019,827.0,1293.0,64.0,10541.0,95.0,,1524.0,11101.0,108.0,8.2,8.8,,239.6,7.3
Aidan O'Connell,Purdue,,3,2019,2022,826.0,1238.0,66.7,9219.0,,,,,,,,,279.4,6.7
Steven Montez,Colorado,,3,2016,2019,824.0,1321.0,62.4,9710.0,,,1664.0,10670.0,,,,,,
Tanner Price,Wake Forest,,3,2010,2013,824.0,1451.0,,,,,1804.0,,,,,,,
