player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Jay Cutler,Vanderbilt,,0,0,0,,1242.0,,,,,1695.0,9953.0,,,,,,
Chase Rettig,Boston College,,0,0,0,,1242.0,,,,,,,,,,,,
Stoney Case,New Mexico,,0,0,0,,1237.0,,9460.0,67.0,,1673.0,10651.0,98.0,,,14.0,,
Christian Hackenberg,Penn State,,0,0,0,,1235.0,,,,,,,,,,,,
Stan White,Auburn,,0,0,0,,1231.0,,,,52.0,,,,,,,,
Brian Kuklick,Wake Forest,,0,0,0,,1230.0,,,,49.0,,,,,,,,
Matt Schilz,Bowling Green State,,0,0,0,,1225.0,,,,,,,,,,,,
James Morgan,Florida International,,0,0,0,,1221.0,,,,,,,,,,,,
Shawn Jones,Georgia Tech,,0,0,0,,1217.0,,,,50.0,1609.0,,,,,,,
Trace McSorley,Penn State,144.5,0,0,0,,1215.0,,9899.0,77.0,,1688.0,11596.0,107.0,8.1,8.5,13.7,,6.9
Steve Taneyhill,South Carolina,,0,0,0,,1209.0,,,,,,,,,,,,
Kurt Kittner,Illinois,,0,0,0,,1205.0,,,,,,,,,,,,
Joe Burrow,LSU,172.4,0,0,0,,,68.8,,78.0,,,9672.0,91.0,9.4,10.5,13.6,,8.0
David Fales,San Jose State,161.7,0,0,0,,,68.1,,,,,,,8.9,9.3,,335.3,8.0
Sam Bradford,Oklahoma,175.6,0,0,0,,,67.6,,88.0,,,,93.0,9.4,10.6,13.9,271.1,8.7
Matt Corral,Ole Miss,159.2,0,0,0,,,67.3,,,,,,,9.1,9.2,,,7.7
Andrew Luck,Stanford,162.8,0,0,0,,,67.0,9430.0,82.0,,,10387.0,89.0,8.9,9.5,,248.2,8.5
Matt Schaub,Virginia,,0,0,0,,,67.0,,,,,,,,,,,
Hendon Hooker,Tennessee,172.2,0,0,0,,,66.9,,80.0,,,11053.0,105.0,9.5,10.6,14.2,,7.6
E.J. Manuel,Florida State,150.4,0,0,0,,,66.9,,,,,,,8.6,8.3,,,7.2
A.J. McCarron,Alabama,162.5,0,0,0,,,66.9,,77.0,,,,80.0,8.8,9.6,,,7.8
Brady Cook,Missouri,,0,0,0,,,66.6,,,,,,,,,,,6.7
Bryn Renner,North Carolina,151.2,0,0,0,,,66.5,,,,,,,8.2,8.3,,234.9,7.0
Tim Tebow,Florida,170.8,0,0,0,,,66.4,9285.0,88.0,,1687.0,12232.0,145.0,9.3,10.4,14.0,,7.3
Mikey Keene,Fresno State,,0,0,0,,,66.4,,,,,,,,,,,
Scott Milanovich,Maryland,,0,0,0,,,66.2,,,,,,,,,,,
Brian Johnson,Utah,144.2,0,0,0,,,66.2,,,,,,,,,,,
Clint Marks,Middle Tennessee State,,0,0,0,,,66.0,,,,,,,,,,,
Kevin Hogan,Stanford,154.6,0,0,0,,,65.9,9385.0,75.0,,,10634.0,91.0,8.5,8.7,,,7.5
Bryce Young,Alabama,165.0,0,0,0,,,65.8,,80.0,,,,87.0,8.8,9.9,,238.7,7.8
Will Grier,West Virginia,165.1,0,0,0,,,65.8,,81.0,,,,88.0,9.0,9.7,13.8,305.6,8.0
Daunte Culpepper,UCF,153.1,0,0,0,,,65.7,9341.0,72.0,,,10344.0,91.0,8.5,8.5,,283.1,7.0
Blake Bortles,UCF,153.8,0,0,0,,,65.7,,,,,,,8.5,8.8,,,7.5
Matt Johnson,Bowling Green State,160.4,0,0,0,,,65.4,,73.0,,,,82.0,8.8,9.6,,239.1,7.4
Jalen Hurts,Oklahoma,162.7,0,0,0,,,65.2,9477.0,80.0,,1660.0,12751.0,124.0,9.1,9.7,13.9,,7.7
Steve Young,Brigham Young,149.8,0,0,0,,,65.2,,,,,,,8.5,8.1,,,7.5
Stetson Bennett,Georgia,160.9,0,0,0,,,65.1,,,,,,81.0,9.1,9.5,14.0,,8.4
Jaxson Dart,Ole Miss,156.6,0,0,0,,,65.0,9791.0,,,,10993.0,,9.0,9.3,13.9,257.7,7.9
Drake Maye,North Carolina,154.1,0,0,0,,,64.9,,,,,,,8.4,9.0,,267.3,7.4
Rob Johnson,USC,144.4,0,0,0,,,64.7,,,,,,,8.0,,,,
Chuck Long,Iowa,147.8,0,0,0,,,64.6,9210.0,,46.0,,,,8.6,,,,
K.J. Jefferson,UCF,153.2,0,0,0,,,64.5,,74.0,,1654.0,10992.0,97.0,8.3,8.8,,,6.6
Rich Campbell,California,,0,0,0,,,64.4,,,42.0,,,,,,,,
Jordan McCloud,Texas State,146.3,0,0,0,,,64.4,,73.0,,,,89.0,,,,,6.6
Ben Bryant,Northwestern,,0,0,0,,,64.3,,,,,,,,,,,
Kirk Cousins,Michigan State,146.1,0,0,0,,,64.1,9131.0,,,,,,8.1,8.1,,,7.3
Terrance Broadway,Louisiana,144.9,0,0,0,,,64.0,,,,,9921.0,,8.3,,,,7.2
Chandler Rogers,California,144.2,0,0,0,,,64.0,,,,,,,,8.1,,,
Robbie Bosco,Brigham Young,149.4,0,0,0,,,64.0,,,,,,,8.4,8.1,,233.3,7.2
Billy Blanton,San Diego State,157.1,0,0,0,,,63.9,,67.0,,,,,8.9,9.1,13.9,,7.2
Sam Howell,North Carolina,164.2,0,0,0,,,63.8,10283.0,92.0,,,11292.0,111.0,9.2,9.9,14.4,277.9,7.6
Tyler Van Dyke,Wisconsin,145.1,0,0,0,,,63.7,,,,,,,8.1,8.1,,,7.2
Mike Maxwell,Nevada,148.5,0,0,0,,,63.6,,,,,,,8.2,,,315.5,
Jayden De Laura,Arizona,145.1,0,0,0,,,63.4,,,,,,,8.1,,,242.5,7.2
Jason White,Oklahoma,152.7,0,0,0,,,63.3,,81.0,,,,83.0,,8.5,,,7.1
Taylor Kelly,Arizona State,147.7,0,0,0,,,63.3,,79.0,,1528.0,10223.0,92.0,,8.2,,,6.7
Jake Fromm,Georgia,156.1,0,0,0,,,63.2,,78.0,,,,81.0,8.4,9.1,,,7.4
Josh Heupel,Oklahoma,,0,0,0,,,63.2,,,,,,,,,,297.9,
Manny Wilkins,Arizona State,,0,0,0,,,63.2,,,,1499.0,9659.0,,,,,,
Austin Reed,Western Kentucky,144.2,0,0,0,,,63.2,,71.0,,,,84.0,,,,311.0,7.0
Riley Ferguson,Memphis,157.1,0,0,0,,,63.1,,70.0,,,,80.0,8.7,9.3,13.7,306.0,7.6
Tommy Devito,Illinois,,0,0,0,,,63.1,,,,,,,,,,,
Jason Verduzco,Illinois,,0,0,0,,,63.1,,,,,,,,,,,
D'Eriq King,Miami (FL),150.5,0,0,0,,,63.1,,76.0,,,10433.0,112.0,,8.6,,,7.1
Emory Jones,Cincinnati,,0,0,0,,,63.1,,,,,,,,,,,
Terrance Owens,Toledo,,0,0,0,,,63.1,,,,,,,,,,,7.1
Zac Thomas,Appalachian State,147.0,0,0,0,,,63.0,,69.0,,,,89.0,,8.0,,,6.9
Marcus McMaryion,Fresno State,,0,0,0,,,63.0,,,,,,,,8.1,,,7.4
Chuckie Keeton,Utah State,,0,0,0,,,62.9,,,,,,,,,,,
K.J. Costello,Mississippi State,,0,0,0,,,62.9,,,,,,,,,,,
Carter Bradley,South Alabama,,0,0,0,,,62.9,,,,,,,,,,,6.7
Andy Schmitt,Eastern Michigan,,0,0,0,,,62.8,,,,,,,,,,,
Darren Grainger,Georgia State,144.5,0,0,0,,,62.7,,,,,,,,8.1,,,6.7
Ryan Dinwiddie,Boise State,168.9,0,0,0,,,62.7,9819.0,82.0,,,9924.0,100.0,9.9,10.6,15.8,233.8,8.3
Malik Cunningham,Louisville,151.7,0,0,0,,,62.6,9664.0,70.0,,1724.0,12843.0,120.0,8.7,8.8,14.0,,7.4
Jimmy Clausen,Notre Dame,,0,0,0,,,62.6,,,,,,,,,,232.8,
Andrew Ford,Massachusetts,,0,0,0,,,62.6,,,,,,,,,,239.8,
Tyler Wilson,Arkansas,,0,0,0,,,62.6,,,,,,,8.2,8.1,,,7.3
Matt Grothe,South Florida,,0,0,0,,,62.5,,,44.0,1693.0,10875.0,,,,,,
Austyn Carta-Samuels,Vanderbilt,,0,0,0,,,62.4,,,,,,,,,,,
Skylar Thompson,Kansas State,,0,0,0,,,62.4,,,,,,,8.1,8.2,,,6.6
Chase Garbers,California,,0,0,0,,,62.4,,,,,,,,,,,
Jared Zabransky,Boise State,145.0,0,0,0,,,62.2,,,,,,89.0,8.4,,,,6.9
Grant Wells,Virginia Tech,,0,0,0,,,62.2,,,,,,,,,,,
Tanner Morgan,Minnesota,151.0,0,0,0,,,62.2,9454.0,,,,,,8.9,8.8,14.3,,7.4
James Franklin,Missouri,,0,0,0,,,62.1,,,,,,,,,,,
Jordan Travis,Florida State,150.6,0,0,0,,,62.0,,,,,10665.0,98.0,8.5,8.9,13.7,,7.4
Mike McCoy,Utah,,0,0,0,,,62.0,,,,,,,,,,,
Nick Stevens,Colorado State,148.7,0,0,0,,,61.9,,70.0,,,,,8.3,8.5,,,7.6
Chandler Harnish,Northern Illinois,145.1,0,0,0,,,61.9,,68.0,,1648.0,11927.0,92.0,8.1,8.2,,,7.2
Nick Arbuckle,Georgia State,144.2,0,0,0,,,61.9,,,,,,,8.4,8.1,,306.0,7.2
Garrett Grayson,Colorado State,145.3,0,0,0,,,61.8,9190.0,,,,,,8.3,8.3,,248.4,7.1
Christian Ponder,Florida State,,0,0,0,,,61.8,,,,,,,,,,,
Darrell Bevell,Wisconsin,,0,0,0,,,61.8,,,,,,,,,,,
Joe Hamilton,Georgia Tech,148.2,0,0,0,,,61.7,,,,1521.0,10640.0,83.0,8.7,8.3,14.1,,7.0
Jake Rudock,Michigan,,0,0,0,,,61.7,,,,,,,,,,,
Jim McMahon,Brigham Young,156.9,0,0,0,,,61.6,9536.0,84.0,,,9723.0,94.0,9.0,9.1,14.6,,7.3
Wayne Peace,Florida,,0,0,0,,,61.6,,,40.0,,,,,,,,
Joshua Dobbs,Tennessee,,0,0,0,,,61.5,,,,,,87.0,,,,,
Andre Ware,Houston,,0,0,0,,,61.5,,75.0,,,,81.0,,,,303.8,6.7
Cole McDonald,Hawaii,146.8,0,0,0,,,61.4,,70.0,,,,82.0,,8.3,,243.4,7.1
McKenzie Milton,Florida State,146.4,0,0,0,,,61.3,9458.0,75.0,,,10524.0,95.0,8.2,8.4,,242.5,7.1
Marquise Williams,North Carolina,,0,0,0,,,61.3,,,,1510.0,10423.0,99.0,,,,,6.9
Jordan Love,Utah State,,0,0,0,,,61.2,,,,,,,,,,,7.0
Hayden Wolff,Western Michigan,,0,0,0,,,61.2,,,,,,,,,,,
Danny Wuerffel,Florida,163.6,0,0,0,,,,10875.0,114.0,42.0,,10500.0,122.0,9.3,9.6,15.4,236.4,7.7
Cade McNown,UCLA,,0,0,0,,,,10008.0,,,,10487.0,,8.7,8.2,15.5,,7.3
Brad Kaaya,Miami (FL),146.2,0,0,0,,,,9972.0,69.0,,,,,8.4,8.6,13.8,262.4,7.5
Chris Weinke,Florida State,151.1,0,0,0,,,,9839.0,79.0,,,,81.0,8.9,9.0,15.1,273.3,7.8
Ken Dorsey,Miami (FL),147.4,0,0,0,,,,9565.0,86.0,,,,88.0,8.3,8.7,14.3,233.3,7.8
Mike Teel,Rutgers,,0,0,0,,,,9383.0,,49.0,,,,8.2,,14.2,,7.7
Josh Rosen,UCLA,,0,0,0,,,,9341.0,,,,,,,,,311.4,7.2
Shane Matthews,Florida,,0,0,0,,,,9287.0,74.0,46.0,,,82.0,,,,273.1,
Nate Davis,Ball State,147.1,0,0,0,,,,9233.0,74.0,,,9732.0,85.0,8.2,8.7,13.6,236.7,7.5
Levi Lewis,Louisiana,144.4,0,0,0,,,,9203.0,74.0,,,10291.0,88.0,,8.4,,,7.0
Connor Cook,Michigan State,,0,0,0,,,,9194.0,71.0,,,,,,8.2,13.7,,7.0
Rex Grossman,Florida,146.7,0,0,0,,,,9164.0,77.0,,,,83.0,8.3,8.2,,261.8,7.3
Mac Jones,Alabama,197.6,0,0,0,,,,,,,,,,11.0,12.5,14.8,,
Tua Tagovailoa,Alabama,199.4,0,0,0,,,,,87.0,,,,96.0,10.9,12.7,15.7,,9.8
Kyler Murray,Oklahoma,181.3,0,0,0,,,,,,,,,,10.4,11.1,15.4,,
C.J. Stroud,Ohio State,182.4,0,0,0,,,,,85.0,,,,86.0,9.8,11.2,14.1,300.9,9.1
Bryce Petty,Baylor,166.0,0,0,0,,,,,,,,,83.0,9.7,10.6,15.5,,8.2
Jordan Ta'amu,Ole Miss,156.8,0,0,0,,,,,,,,,,9.5,9.6,14.7,280.0,
Steve Sarkisian,Brigham Young,162.0,0,0,0,,,,,,,,,,9.5,9.3,14.1,298.6,
Jameis Winston,Florida State,163.3,0,0,0,,,,,,,,,,9.4,9.4,14.2,295.0,8.3
Stefan Lefors,Louisville,159.8,0,0,0,,,,,,,,,,9.3,9.6,14.1,,
Justin Fields,Ohio State,178.8,0,0,0,,,,,67.0,,,,86.0,9.2,10.7,,,
Kaleb Eleby,Western Michigan,159.7,0,0,0,,,,,,,,,,9.2,9.8,14.5,253.5,
Dwayne Haskins,Ohio State,174.0,0,0,0,,,,,,,,,,9.1,10.3,,245.3,
Zach Wilson,Brigham Young,162.9,0,0,0,,,,,,,,,,9.1,9.7,,255.1,7.9
Danny White,Arizona State,148.8,0,0,0,,,,,,,,,,9.1,8.5,17.2,,
Carson Beck,Georgia,164.6,0,0,0,,,,,,,,,,9.1,9.6,,,
Jake Waters,Kansas State,155.6,0,0,0,,,,,,,,,,9.1,9.2,14.2,229.6,
Kyle Trask,Florida,168.5,0,0,0,,,,,69.0,,,,,9.1,10.0,,254.7,
Koy Detmer,Colorado,148.9,0,0,0,,,,,,,,,,9.1,8.5,15.4,,
Kaidon Salter,Liberty,160.9,0,0,0,,,,,,,,,,9.1,9.8,14.9,,
Johnny Manziel,Texas A&M,164.1,0,0,0,,,,,,,,9989.0,93.0,9.1,9.4,,300.8,8.3
J.J. Joe,Baylor,,0,0,0,,,,,,,,,,9.0,8.1,17.3,,
Seth Russell,Baylor,159.4,0,0,0,,,,,,,,,80.0,9.0,9.7,15.8,,
Vinny Testaverde,Miami (FL),152.9,0,0,0,,,,,,,,,,9.0,8.7,14.7,,
Marvin Graves,Syracuse,,0,0,0,,,,,,45.0,,,,9.0,,15.0,,
Trent Dilfer,Fresno State,151.2,0,0,0,,,,,,,,,,9.0,9.1,15.1,,
Jim Harbaugh,Michigan,149.5,0,0,0,,,,,,,,,,9.0,8.6,14.2,,
Donovan McNabb,Syracuse,155.1,0,0,0,,,,,77.0,,,9950.0,96.0,8.9,9.3,15.3,,7.1
John Dutton,Nevada,154.4,0,0,0,,,,,,,,,,8.9,9.3,14.0,252.6,
Alex Smith,Utah,164.4,0,0,0,,,,,,,,,,8.9,9.9,,,
Joe Germaine,Ohio State,155.4,0,0,0,,,,,,,,,,8.9,9.2,14.6,,
Josh Wallwork,Wyoming,152.7,0,0,0,,,,,,,,,,8.9,8.6,14.4,293.3,
Ryan Mallett,Arkansas,150.4,0,0,0,,,,,69.0,,,,,8.8,9.1,15.2,,7.6
Zach Mettenberger,LSU,148.4,0,0,0,,,,,,,,,,8.8,8.8,14.2,,
Joe Ganz,Nebraska,157.4,0,0,0,,,,,,,,,,8.8,8.9,,,
Scott Tolzien,Wisconsin,153.2,0,0,0,,,,,,,,,,8.8,8.5,,,
Chuck Hartlieb,Iowa,148.9,0,0,0,,,,,,,,,,8.8,8.6,13.6,,
J.J. McCarthy,Michigan,160.5,0,0,0,,,,,,,,,,8.7,9.4,,,
Shawn Moore,Virginia,,0,0,0,,,,,,,,,83.0,8.7,8.3,15.7,,6.7
Bailey Zappe,Western Kentucky,168.7,0,0,0,,,,,,,,,,8.7,9.8,,426.2,
Kyle McCord,Syracuse,156.5,0,0,0,,,,,,,,,,8.7,9.0,,,
Sam King,UNLV,,0,0,0,,,,,,,,,,8.7,,15.0,,
Greg McElroy,Alabama,155.4,0,0,0,,,,,,,,,,8.6,9.2,,,
Bobby Hoying,Ohio State,146.1,0,0,0,,,,,,,,,,8.6,8.1,14.6,,
Tyler Huntley,Utah,152.6,0,0,0,,,,,,,,,,8.6,8.6,,,6.8
Jaren Hall,Brigham Young,158.2,0,0,0,,,,,,,,,,8.6,9.4,,,
John Walsh,Brigham Young,147.6,0,0,0,,,,,,,,,,8.6,8.3,14.3,262.2,6.7
Dustin Crum,Kent State,157.1,0,0,0,,,,,,,,,80.0,8.6,9.2,,,7.1
Rick Mirer,Notre Dame,,0,0,0,,,,,,,,,,8.6,8.3,15.9,,
Brendon Kay,Cincinnati,151.9,0,0,0,,,,,,,,,,8.6,8.6,,,
Omar Jacobs,Bowling Green State,162.5,0,0,0,,,,,71.0,,,,,8.6,9.7,,277.5,
Jason Campbell,Auburn,148.2,0,0,0,,,,,,,,,,8.5,8.3,,,6.9
Sam Darnold,USC,153.7,0,0,0,,,,,,,,,,8.5,8.7,,267.7,7.7
Chad Kelly,Ole Miss,150.9,0,0,0,,,,,,,,,,8.5,8.6,,254.0,7.8
Jason Bean,Kansas,149.5,0,0,0,,,,,,,,,,8.5,8.4,14.4,,
Troy Smith,Ohio State,157.1,0,0,0,,,,,,,,,,8.5,9.3,13.6,,
Troy Aikman,UCLA,149.7,0,0,0,,,,,,,,,,8.5,8.5,,,
Jarrett Stidham,Auburn,151.4,0,0,0,,,,,,,,,,8.5,9.0,,,
Garrett Gabriel,Hawaii,,0,0,0,,,,,,,,,,8.5,,15.8,,
Moses Moreno,Colorado State,,0,0,0,,,,,,,,,,8.5,8.1,14.6,,
Scott McBrien,Maryland,,0,0,0,,,,,,,,,,8.5,8.3,15.7,,
Tyler Shough,Louisville,152.2,0,0,0,,,,,,,,,,8.5,8.7,,,
Shaun Carney,Air Force,146.9,0,0,0,,,,,,,,,,8.5,8.2,13.7,,
Rocco Becht,Iowa State,150.3,0,0,0,,,,,,,,,,8.5,8.7,,,
Don McPherson,Syracuse,,0,0,0,,,,,,,,,,8.5,8.1,15.8,,
Matt Sherman,Iowa,,0,0,0,,,,,,,,,,8.4,,14.3,,
Vince Young,Texas,144.9,0,0,0,,,,,,,,,81.0,8.4,,13.6,,7.8
Ryan Leaf,Washington State,,0,0,0,,,,,,,,,,8.4,8.6,15.6,229.1,
Cory Paus,UCLA,,0,0,0,,,,,,,,,,8.4,,15.6,,
Malik Willis,Liberty,153.1,0,0,0,,,,,,,,,,8.4,8.6,,,
Todd Centeio,James Madison,147.9,0,0,0,,,,,,,,,,8.4,8.7,13.7,,7.0
Dan McGwire,San Diego State,,0,0,0,,,,,,,,,,8.4,,14.2,,7.1
Mike Tomczak,Ohio State,,0,0,0,,,,,,,,,,8.4,,15.1,,
Denard Robinson,Michigan,,0,0,0,,,,,,,,10745.0,91.0,8.4,,14.6,,7.3
Nick Florence,Baylor,,0,0,0,,,,,,,,,,8.4,8.1,,,
Grant Hedrick,Boise State,153.7,0,0,0,,,,,,,,,,8.4,8.2,,,
Dylan Hopkins,New Mexico,,0,0,0,,,,,,,,,,8.4,,13.9,,
DeShone Kizer,Notre Dame,147.7,0,0,0,,,,,,,,,,8.3,8.5,13.7,232.4,
Tom Ramsey,UCLA,,0,0,0,,,,,,,,,,8.3,,14.2,,
Nathan Rourke,Ohio,146.4,0,0,0,,,,,,,,10093.0,111.0,8.3,8.7,14.2,,7.6
Lamar Jackson,Louisville,,0,0,0,,,,,69.0,,1741.0,13175.0,119.0,8.3,8.5,14.6,238.0,7.6
Zac Robinson,Oklahoma State,146.6,0,0,0,,,,,,,,10175.0,88.0,8.3,8.3,13.6,,7.1
Mitch Trubisky,North Carolina,157.6,0,0,0,,,,,,,,,,8.3,9.0,,,
Justin Holland,Colorado State,,0,0,0,,,,,,,,,,8.3,,,,
JaMarcus Russell,LSU,147.9,0,0,0,,,,,,,,,,8.3,8.4,,,
Austin Allen,Arkansas,,0,0,0,,,,,,,,,,8.3,,14.1,,
Casey Thompson,Oklahoma,152.4,0,0,0,,,,,,,,,,8.3,8.2,,,
Todd Collins,Michigan,146.5,0,0,0,,,,,,,,,,8.3,8.2,,,
Quinton Flowers,South Florida,146.5,0,0,0,,,,,71.0,,1579.0,11802.0,112.0,8.3,8.7,14.4,,7.5
Connor Shaw,South Carolina,155.9,0,0,0,,,,,,,,,,8.3,8.8,,,
Thad Busby,Florida State,,0,0,0,,,,,,,,,,8.3,,14.1,,
Stephen Morris,Miami (FL),,0,0,0,,,,,,,,,,8.3,,14.3,,7.5
Keith Smith,Arizona,,0,0,0,,,,,,,,,,8.3,,13.8,,
Kordell Stewart,Colorado,,0,0,0,,,,,,,,,,8.3,,14.2,,7.1
Quinn Ewers,Texas,150.3,0,0,0,,,,,,,,,,8.3,8.6,,244.1,
Joe Youngblood,Central Michigan,,0,0,0,,,,,,,,,,8.2,,14.3,,
Joe Milton,Tennessee,146.3,0,0,0,,,,,,,,,,8.2,8.6,,,
Mike Bobo,Georgia,,0,0,0,,,,,,,,,,8.2,,14.2,,
Gifford Nielsen,Brigham Young,145.2,0,0,0,,,,,,,,,,8.2,,14.0,,
Buck Pierce,New Mexico State,147.9,0,0,0,,,,,,,,,,8.2,8.3,,,
Aaron Rodgers,California,150.3,0,0,0,,,,,,,,,,8.2,8.6,,,
Noah Fifita,Arizona,152.7,0,0,0,,,,,,,,,,8.2,8.4,,,
Herb Tyler,LSU,,0,0,0,,,,,,,,,,8.2,,,,
Gunner Kiel,Cincinnati,145.5,0,0,0,,,,,,,,,,8.2,8.1,,235.7,
Jack Abraham,Missouri,146.3,0,0,0,,,,,,,,,,8.2,,,,
Jim Karsatos,Ohio State,,0,0,0,,,,,,,,,,8.2,,14.2,,
David Carr,Fresno State,150.7,0,0,0,,,,,,,,,,8.2,8.6,,,
Dan Persa,Northwestern,155.0,0,0,0,,,,,,,,,,8.2,8.3,,,
Chandler Morris,North Texas,151.2,0,0,0,,,,,,,,,,8.2,8.5,,,
Cale Gundy,Oklahoma,,0,0,0,,,,,,,,,,8.2,,14.6,,
Austin Aune,North Texas,,0,0,0,,,,,,,,,,8.2,8.0,15.0,,7.4
Tim Gutierrez,San Diego State,144.1,0,0,0,,,,,,,,,,8.2,,,,
Mike Fouts,Utah,,0,0,0,,,,,,,,,,8.2,8.1,14.3,232.1,
Diego Pavia,Vanderbilt,146.8,0,0,0,,,,,,,,,,8.2,8.6,13.8,,
Marc Wilson,Brigham Young,,0,0,0,,,,,,46.0,,,,8.2,,14.3,,
Marlon Adler,Missouri,,0,0,0,,,,,,44.0,,,,8.1,,15.1,,
Ricky Stanzi,Iowa,,0,0,0,,,,,,,,,,8.1,,13.6,,
Doug Gaynor,Long Beach State,,0,0,0,,,,,,,,,,8.1,,,308.8,
Tyrod Taylor,Virginia Tech,,0,0,0,,,,,,,,,,8.1,8.1,14.2,,6.7
Bryan Cupito,Minnesota,,0,0,0,,,,,,,,,,8.1,8.1,14.5,,
Matt Sauk,Utah State,,0,0,0,,,,,,,,,,8.1,,15.7,256.4,
Chuck Fusina,Penn State,,0,0,0,,,,,,,,,,8.1,,14.5,,
Jerry Tagge,Nebraska,,0,0,0,,,,,,,,,,8.1,,,,
Kyle Padron,SMU,,0,0,0,,,,,,,,,,8.1,,,245.9,
Mike Glass III,Eastern Michigan,149.6,0,0,0,,,,,,,,,,8.1,8.3,,,
Tommy Maddox,UCLA,,0,0,0,,,,,,,,,,8.1,,13.9,235.8,
Driphus Jackson,Rice,,0,0,0,,,,,,,,,,8.1,8.4,14.1,,
Tyler Bray,Tennessee,145.0,0,0,0,,,,,69.0,,,,,8.1,8.2,13.8,265.9,
Dylan Thompson,South Carolina,,0,0,0,,,,,,,,,,8.1,8.2,13.8,,
Kerry Collins,Penn State,,0,0,0,,,,,,,,,,8.1,,14.3,,
Anthony Gordon,Washington State,157.1,0,0,0,,,,,,,,,,8.1,8.3,,349.8,
Darron Thomas,Oregon,154.1,0,0,0,,,,,,,,,,8.1,8.8,,,
Jesse Freitas,San Diego State,,0,0,0,,,,,,,,,,8.1,,,,
Jay Barker,Alabama,,0,0,0,,,,,,,,,,8.1,,14.2,,
Craig Erickson,Miami (FL),,0,0,0,,,,,,,,,,8.1,,14.4,,
Ryan Higgins,Louisiana Tech,144.8,0,0,0,,,,,,,,,,8.1,,,,
Chris Rix,Florida State,,0,0,0,,,,,,40.0,,,,8.1,,14.6,,6.8
Devin Gardner,Michigan,,0,0,0,,,,,,,,,,8.1,,,,
Christian Chapman,San Diego State,144.1,0,0,0,,,,,,,,,,8.0,8.4,,,
Ryan Colburn,Fresno State,144.6,0,0,0,,,,,,,,,,8.0,,,,
Chris Robison,Florida Atlantic,,0,0,0,,,,,,,,,,8.0,8.0,,239.8,
Gary Huff,Florida State,,0,0,0,,,,,,42.0,,,,8.0,,14.6,,
Nic Shimonek,Texas Tech,153.2,0,0,0,,,,,,,,,,8.0,8.6,,233.9,
Bernie Kosar,Miami (FL),,0,0,0,,,,,,,,,,8.0,,,259.6,
Shedeur Sanders,Colorado,154.3,0,0,0,,,,,,,,,,,8.6,,303.8,
Cameron Rising,Utah,150.9,0,0,0,,,,,,,,,,,8.6,,,
Drew Allar,Penn State,145.4,0,0,0,,,,,,,,,,,8.5,,,
Kaleb Barker,Troy,151.9,0,0,0,,,,,,,,,,,8.4,,,
Braxton Miller,Ohio State,146.7,0,0,0,,,,,,,,,88.0,,8.4,,,6.8
Nate Sudfeld,Indiana,,0,0,0,,,,,,,,,,,8.3,,,7.2
Drew Hare,Northern Illinois,,0,0,0,,,,,,,,,,,8.2,,,
Nathan Peterman,Pitt,144.6,0,0,0,,,,,,,,,,,8.2,,,
Jack Coan,Notre Dame,148.0,0,0,0,,,,,,,,,,,8.2,,,
Shea Patterson,Michigan,,0,0,0,,,,,68.0,,,,,,8.1,,244.4,6.9
Joey Aguilar,Appalachian State,,0,0,0,,,,,,,,,,,8.1,,277.9,
Brett Gabbert,Miami (OH),,0,0,0,,,,,,,,,,,8.1,13.7,,6.8
Skyler Howard,West Virginia,,0,0,0,,,,,,,,,,,8.1,13.9,243.4,6.8
Gus Ragland,Miami (OH),,0,0,0,,,,,,,,,,,8.1,,,
DeQuan Finn,Baylor,,0,0,0,,,,,,,,,92.0,,8.1,,,6.9
Josh Haldi,Northern Illinois,,0,0,0,,,,,,,,,,,8.1,14.1,,
George Godsey,Georgia Tech,,0,0,0,,,,,,,,,,,8.0,,,
Bart Hendricks,Boise State,,0,0,0,,,,,78.0,,,10039.0,98.0,,,13.9,,6.7
Dan Marino,Pitt,,0,0,0,,,,,74.0,64.0,,,,,,,,
Dave Ragone,Louisville,,0,0,0,,,,,74.0,,1506.0,,83.0,,,,,
Logan Bonner,Utah State,,0,0,0,,,,,72.0,,,,,,,,,6.6
Chase Litton,Marshall,,0,0,0,,,,,72.0,,,,,,,,245.1,
Jacory Harris,Miami (FL),,0,0,0,,,,,70.0,48.0,,,,,,,,
Shaun King,Tulane,,0,0,0,,,,,70.0,,1516.0,,89.0,,,,,
Jason Gesser,Washington State,,0,0,0,,,,,69.0,,,,,,,14.3,,6.6
Tommy Hodson,LSU,,0,0,0,,,,,69.0,41.0,,,,,,,,6.8
Scott Mitchell,Utah,,0,0,0,,,,,69.0,,,,,,,,256.6,6.8
N'Kosi Perry,Florida Atlantic,,0,0,0,,,,,69.0,,,,83.0,,,,,
Steve Ramsey,North Texas,,0,0,0,,,,,69.0,67.0,,,,,,14.4,244.0,
Darian Durant,North Carolina,,0,0,0,,,,,68.0,,,9629.0,,,,,,
Nathan Stanley,Iowa,,0,0,0,,,,,68.0,,,,,,,,,
Tommy Armstrong Jr.,Nebraska,,0,0,0,,,,,67.0,44.0,1595.0,10690.0,91.0,,,14.2,,6.7
