player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Kordell Stewart,,11,[],0,,,55.8,70.7,1316,2358,14746,77,118,84,3.6,7,170,9,14
Doug Flutie,,20,[],0,,,54.7,76.3,1177,2151,14715,86,159,68,3.2,,107,8,10
Joey Harrington,,6,[],0,,,56.1,69.4,1424,2538,14693,79,181,85,3.3,14,124,6,7
Sid Luckman,,12,[],1,,,51.8,75.0,904,1744,14686,137,114,132,7.6,,,4,5
David Carr,2002,11,"['Texans', 'Giants', 'Panthers', '49ers']",0,,49.09,59.7,74.9,1353,2267,14452,65,153,71,3.1,7,267,7,11
Bubby Brister,,15,[],0,,,54.6,72.3,1207,2212,14445,81,145,78,3.5,7,193,9,11
Marc Wilson,,11,[],0,,,52.1,67.7,1085,2081,14391,86,114,102,4.9,,210,9,12
Nick Foles,2012,11,"['Jaguars', 'Bears', 'Eagles', 'Rams', 'Colts', 'Chiefs']",0,,83.756,62.4,86.2,1302,2087,14227,82,200,,2.3,5,127,11,13
Bill Nelsen,,10,[],0,,,50.6,70.2,963,1905,14165,98,157,101,5.3,10,146,8,8
Josh Freeman,2009,7,"['Buccaneers', 'Vikings', 'Giants', 'Colts', 'Dolphins']",0,,28.329,57.6,77.6,1179,2048,13873,81,223,68,3.3,6,112,9,10
Gary Danielson,,13,[],0,,,57.2,76.6,1105,1932,13764,81,136,78,4.0,4,183,5,11
Daniel Jones,2019,6,['Giants'],0,,72.129,64.2,85.3,1335,2078,13650,68,210,,2.1,,191,7,9
Eddie LeBaron,,12,[],0,,,50.0,61.4,898,1796,13399,104,100,141,7.9,10,,13,13
Chad Henne,2008,15,"['Jaguars', 'Chiefs', 'Dolphins']",0,,39.675,59.6,76.1,1200,2015,13290,60,170,63,3.1,7,151,4,5
Sam Darnold,2018,7,"['Jets', 'Panthers', 'Vikings', '49ers']",0,,60.116,60.0,80.1,1169,1948,13175,74,185,60,3.1,5,163,,5
Tua Tagovailoa,2020,5,['Dolphins'],0,,72.275,66.8,96.4,1136,1700,13122,83,238,,2.4,5,94,7,9
Bill Munson,,16,[],0,,,54.0,71.5,1070,1982,12896,84,120,80,4.0,,192,8,8
Trevor Lawrence,2021,4,['Jaguars'],0,,68.616,63.4,85.3,1209,1906,12870,64,234,,2.2,,106,5,7
Don Majkowski,,10,[],0,,,55.4,72.9,1056,1905,12700,66,141,67,3.5,8,180,10,13
Jalen Hurts,2020,5,['Eagles'],0,,28.898,63.7,90.7,1090,1710,12694,71,192,,2.2,4,126,7,9
