player_id,player_name,weight,height,school,grade
19479,Rusty Hilger,,,Oklahoma State,
19504,Scott Barry,,,UC Davis,
19675,Jim Everett,,,Purdue,
19684,Chuck Long,,,Iowa,
19719,Jack Trudeau,,,Illinois,
19739,Bubby Brister,,,UL Monroe,
19743,Hugh Millen,,,Washington,
19744,Robbie Bosco,,,BYU,
19771,Doug Gaynor,,,Long Beach State,
19818,Mark Rypien,,,Washington State,
19822,Stan Gelbaugh,,,Maryland,
19846,Mike Norseth,,,Kansas,
20006,Vinny Testaverde,,,Miami,
20011,Kelly Stouffer,,,Colorado State,
20018,Chris Miller,,,Oregon,
20031,Jim Harbaugh,,,Michigan,
20069,Cody Carlson,,,Baylor,
20093,Mark Vlasic,,,Iowa,
20103,Rich Gannon,,,Delaware,
20104,Troy Stradford,,,Boston College,
20115,Steve Beuerlein,,,Notre Dame,
20185,Kevin Sweeney,,,Fresno State,
20191,Doug Hudson,,,Nicholls,
20674,Troy Aikman,,,UCLA,
20705,Mike Elkins,,,Wake Forest,
20724,Billy Joe Tolliver,,,Texas Tech,
20747,Anthony Dilweg,,,Duke,
20756,Erik Wilhelm,,,Oregon State,
20760,Jeff Graham,,,Long Beach State,
20775,Jeff Carlson,,,Weber State,
20813,Jeff Francis,,,Tennessee,
20814,Rodney Peete,,,USC,
20865,Brent Snyder,,,Utah State,
20868,Terrence Jones,,,Tulane,
770,Jeff George,,,Illinois,
4660,Andre Ware,,,Houston,
21042,Tommy Hodson,,,LSU,
21046,Peter Tom Willis,,,Florida State,
21053,Neil O'Donnell,,,Maryland,
21067,Troy Taylor,,,California,
21069,Cary Conklin,,,Washington,
21076,Scott Mitchell,,,Utah,
21118,Craig Kupp,,,Pacific Lutheran,
21121,John Friesz,,,Idaho,
21139,Mike Buck,,,Maine,
782,Dan McGwire,,,San Diego State,
4652,Todd Marinovich,,,USC,
21317,Brett Favre,,,Southern Mississippi,
21318,Browning Nagle,,,Louisville,
21368,Scott Zolak,,,Maryland,
21383,Donald Hollas,,,Rice,
21390,Bill Musgrave,,,Oregon,
21415,Craig Erickson,,,Miami,
21474,Paul Justin,,,Arizona State,
4608,David Klingler,,,Houston,
4626,Tommy Maddox,,,UCLA,
21631,Matt Blundin,,,Virginia,
21637,Tony Sacca,,,Penn State,
21677,Craig Erickson,,,Miami,
21693,Casey Weldon,,,Florida State,
21698,Will Furrer,,,Virginia Tech,
21703,Chris Hakel,,,William & Mary,
21756,Jeff Blake,,,East Carolina,
766,Drew Bledsoe,,,Washington State,
780,Rick Mirer,,,Notre Dame,
21954,Billy Joe Hobert,,,Washington,
22014,Mark Brunell,,,Washington,
22088,Gino Torretta,,,Miami,
4550,Heath Shuler,,,Tennessee,
4553,Trent Dilfer,,,Fresno State,
22201,Perry Klein,,,LIU-C.W. Post,
22206,Doug Nussmeier,,,Idaho,
22268,Jim Miller,,,Michigan State,
22287,Gus Frerotte,,,Tulsa,
22288,Jay Walker,,,Howard,
22289,Steve Matthews,,,Memphis,
4518,Steve McNair,,,Alcorn State,
4520,Kerry Collins,,,Penn State,
22326,Todd Collins,,,Michigan,
22341,Kordell Stewart,,,Colorado,
22361,Stoney Case,,,New Mexico,
22365,Eric Zeier,,,Georgia,
22380,Rob Johnson,,,USC,
22392,Chad May,,,Kansas State,
22400,Dave Barr,,,California,
22415,Steve Stenstrom,,,Stanford,
22440,Jay Barker,,,Alabama,
22471,Jerry Colquitt,,,Tennessee,
22477,Craig Whelihan,,,Pacific,
22493,John Walsh,,,BYU,
4484,Jim Druckenmiller,,,Virginia Tech,
22765,Jake Plummer,,,Arizona State,
22822,Danny Wuerffel,,,Florida,
22833,Pat Barnes,,,California,
22894,Mike Cherry,,,Murray State,
22914,Chuck Clements,,,Houston,
22927,Tony Graziani,,,Oregon,
22930,Koy Detmer,,,Colorado,
761,Peyton Manning,,,Tennessee,
4434,Ryan Leaf,,,Washington State,
22993,Charlie Batch,,,Eastern Michigan,
23019,Jonathan Quinn,,,Middle Tennessee,
23024,Brian Griese,,,Michigan,
23105,John Dutton,,,Nevada,
23120,Matt Hasselbeck,,,Boston College,
4404,Tim Couch,,,Kentucky,
4405,Donovan McNabb,,,Syracuse,
4406,Akili Smith,,,Oregon,
4414,Daunte Culpepper,,,UCF,
4415,Cade McNown,,,UCLA,
