Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
Charley Johnson,24410.0,1961-1975,3TM,1737.0,3392.0,170.0,69.2,181.0,260.0,2186.0,12.0,147.9,51.2%,5.3%,19.0,,17.0,3.0,tm,0.0,15.0,,,,,,left_only
Daunte Culpepper,24153.0,1999-2009,4TM,2016.0,3199.0,149.0,87.8,106.0,298.0,1696.0,,230.0,63.0%,3.3%,11.0,,17.0,4.0,tm,0.0,11.0,,,,,,left_only
Daunte Culpepper,,1999-2009,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,11.0,,,,,,left_only
Steve Bartkowski,24124.0,1975-1986,2TM,1932.0,3456.0,156.0,75.4,144.0,356.0,2956.0,,187.0,55.9%,4.2%,18.0,,21.0,2.0,tm,0.0,12.0,,,,,,left_only
Steve Bartkowski,,1975-1986,atl,,,,,,,,7.0,,,,,,,1.0,ATL,0.0,12.0,,,,,,left_only
Steve Beuerlein,24046.0,1988-2003,6TM,1894.0,3328.0,147.0,80.3,112.0,332.0,2124.0,,163.6,56.9%,3.4%,13.0,,16.0,6.0,tm,0.0,16.0,,,,,,left_only
Steve Beuerlein,,1988-2003,3TM,,,,,,,,6.0,,,,,,,3.0,tm,0.0,16.0,,,,,,left_only
Archie Manning,23911.0,1971-1984,3TM,2011.0,3642.0,125.0,67.1,173.0,396.0,3092.0,,158.4,55.2%,4.8%,11.0,,12.0,3.0,tm,0.0,14.0,,,,,,left_only
Archie Manning,,1971-1984,2TM,,,,,,,,11.0,,,,,,,2.0,tm,0.0,14.0,,,,,,left_only
Brian Sipe,23713.0,1974-1983,cle,1944.0,3439.0,154.0,74.8,149.0,224.0,1889.0,7.0,189.7,56.5%,4.3%,17.0,,23.0,1.0,CLE,0.0,10.0,,,,,,left_only
Andrew Luck,23671.0,2012-2018,clt,2000.0,3290.0,171.0,89.5,83.0,174.0,1124.0,10.0,275.2,60.8%,2.5%,16.0,,20.0,1.0,CLT,0.0,7.0,2012.0,2018.0,109.108,179.631,{'Colts': 109.108},both
Josh Allen,23648.0,2018-2024,buf,2068.0,3276.0,175.0,92.7,78.0,181.0,1129.0,,238.9,63.1%,2.4%,13.0,,19.0,1.0,BUF,0.0,7.0,2018.0,9999.0,112.904,142.759,{'Bills': 112.904},both
Norm Van Brocklin,23611.0,1949-1960,2TM,1553.0,2895.0,173.0,75.1,178.0,,929.0,8.0,168.7,53.6%,6.1%,19.0,,17.0,2.0,tm,1.0,12.0,,,,,,left_only
Otto Graham,23584.0,1946-1955,cle,1464.0,2626.0,174.0,86.6,135.0,,2245.0,7.0,187.2,55.8%,5.1%,12.0,,10.0,1.0,CLE,1.0,10.0,,,,,,left_only
Lynn Dickey,23322.0,1971-1985,2TM,1747.0,3125.0,141.0,70.9,179.0,297.0,2423.0,15.0,153.4,55.9%,5.7%,12.0,,18.0,2.0,tm,0.0,15.0,,,,,,left_only
Bernie Kosar,23301.0,1985-1996,3TM,1994.0,3365.0,124.0,81.8,87.0,273.0,1660.0,,184.9,59.3%,2.6%,14.0,,16.0,3.0,tm,0.0,12.0,,,,,,left_only
Bernie Kosar,,1985-1996,cle,,,,,,,,7.0,,,,,,,1.0,CLE,0.0,12.0,,,,,,left_only
Marc Bulger,22814.0,2002-2009,ram,1969.0,3171.0,122.0,84.4,93.0,254.0,1863.0,10.0,237.6,62.1%,2.9%,12.0,,16.0,1.0,RAM,0.0,8.0,,,,,,left_only
Neil Lomax,22771.0,1981-1988,crd,1817.0,3153.0,136.0,82.7,90.0,362.0,2700.0,6.0,210.8,57.6%,2.9%,11.0,,12.0,1.0,CRD,0.0,8.0,,,,,,left_only
Roger Staubach,22700.0,1969-1979,dal,1685.0,2958.0,153.0,83.4,109.0,313.0,2154.0,,173.3,57.0%,3.7%,13.0,104.0,21.0,1.0,DAL,1.0,11.0,,,,,,left_only
Babe Parilli,22681.0,1952-1969,5TM,1552.0,3330.0,178.0,59.6,220.0,178.0,2132.0,,120.0,46.6%,6.6%,17.0,,13.0,5.0,tm,0.0,18.0,,,,,,left_only
Babe Parilli,,1952-1969,3TM,,,,,,,,20.0,,,,,,,3.0,tm,0.0,18.0,,,,,,left_only
Michael Vick,22464.0,2001-2015,4TM,1807.0,3217.0,133.0,80.4,88.0,316.0,1879.0,,157.1,56.2%,2.7%,14.0,92.0,15.0,4.0,tm,0.0,15.0,2001.0,2015.0,118.645,311.481,"{'Falcons': 61.4, 'Eagles': 52.275, 'Jets': 4.0, 'Steelers': 0.97}",both
Michael Vick,,2001-2015,2TM,,,,,,,,6.0,,,,,,,2.0,tm,0.0,15.0,2001.0,2015.0,118.645,311.481,"{'Falcons': 61.4, 'Eagles': 52.275, 'Jets': 4.0, 'Steelers': 0.97}",both
Carson Wentz,22292.0,2016-2023,4TM,2073.0,3308.0,153.0,89.4,67.0,239.0,1533.0,,234.7,62.7%,2.0%,12.0,,13.0,4.0,tm,0.0,8.0,2016.0,9999.0,130.383,176.665,"{'Eagles': 79.059, 'Commanders': 28.295, 'Colts': 21.306, 'Chiefs': 0.99, 'Rams': 0.732}",both
Jameis Winston,22120.0,2015-2024,3TM,1764.0,2883.0,141.0,87.0,99.0,195.0,1242.0,,230.4,61.2%,3.4%,8.0,,13.0,3.0,tm,0.0,10.0,2015.0,9999.0,75.089,106.721,"{'Buccaneers': 46.149, 'Saints': 26.15, 'Browns': 2.79}",both
Jameis Winston,,2015-2024,2TM,,,,,,,,12.0,,,,,,,2.0,tm,0.0,10.0,2015.0,9999.0,75.089,106.721,"{'Buccaneers': 46.149, 'Saints': 26.15, 'Browns': 2.79}",both
Danny White,21959.0,1976-1988,dal,1761.0,2950.0,155.0,81.7,132.0,241.0,2083.0,8.0,132.3,59.7%,4.5%,11.0,,14.0,1.0,DAL,0.0,13.0,,,,,,left_only
Sammy Baugh,21886.0,1937-1952,was,1693.0,2995.0,187.0,72.2,203.0,,,5.0,131.1,56.5%,6.8%,6.0,,16.0,1.0,WAS,1.0,16.0,,,,,,left_only
Jeff Blake,21711.0,1992-2005,7TM,1827.0,3241.0,134.0,78.0,99.0,248.0,1550.0,,182.4,56.4%,3.1%,12.0,,16.0,7.0,tm,0.0,14.0,,,,,,left_only
Jeff Blake,,1992-2005,4TM,,,,,,,,12.0,,,,,,,4.0,tm,0.0,14.0,,,,,,left_only
Neil O'Donnell,21690.0,1991-2003,4TM,1865.0,3229.0,120.0,81.8,68.0,259.0,1906.0,,173.5,57.8%,2.1%,15.0,,18.0,4.0,tm,0.0,13.0,,,,,,left_only
Neil O'Donnell,,1991-2003,2TM,,,,,,,,8.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Bobby Hebert,21683.0,1985-1996,2TM,1839.0,3121.0,135.0,78.0,124.0,178.0,1255.0,10.0,183.8,58.9%,4.0%,11.0,,16.0,2.0,tm,0.0,12.0,,,,,,left_only
Baker Mayfield,21496.0,2018-2024,4TM,1860.0,2978.0,141.0,89.4,76.0,226.0,1437.0,,228.7,62.5%,2.6%,8.0,,10.0,4.0,tm,0.0,7.0,2018.0,9999.0,52.301,69.945,"{'Browns': 43.443, 'Buccaneers': 4.0, 'Panthers': 3.509, 'Rams': 1.349}",both
Baker Mayfield,,2018-2024,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,7.0,2018.0,9999.0,52.301,69.945,"{'Browns': 43.443, 'Buccaneers': 4.0, 'Panthers': 3.509, 'Rams': 1.349}",both
Gus Frerotte,21291.0,1994-2008,7TM,1699.0,3106.0,114.0,74.2,106.0,207.0,1328.0,,144.8,54.7%,3.4%,8.0,,10.0,7.0,tm,0.0,15.0,,,,,,left_only
Gus Frerotte,,1994-2008,4TM,,,,,,,,10.0,,,,,,,4.0,tm,0.0,15.0,,,,,,left_only
Jack Kemp,21218.0,1957-1969,3TM,1436.0,3073.0,114.0,57.3,183.0,214.0,2030.0,,173.9,46.7%,6.0%,11.0,,11.0,3.0,tm,0.0,13.0,,,,,,left_only
Jack Kemp,,1957-1969,2TM,,,,,,,,9.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Jim Zorn,21115.0,1976-1987,3TM,1669.0,3149.0,111.0,67.3,141.0,213.0,1585.0,,150.8,53.0%,4.5%,9.0,,12.0,3.0,tm,0.0,12.0,,,,,,left_only
Jim Zorn,,1976-1987,sea,,,,,,,,13.0,,,,,,,1.0,SEA,0.0,12.0,,,,,,left_only
Jake Delhomme,20975.0,1999-2011,4TM,1741.0,2932.0,126.0,81.3,101.0,168.0,1267.0,,203.6,59.4%,3.4%,19.0,,24.0,4.0,tm,0.0,13.0,,,,,,left_only
Jake Delhomme,,1999-2011,2TM,,,,,,,,13.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Earl Morrall,20809.0,1956-1976,6TM,1379.0,2689.0,161.0,74.1,148.0,197.0,2182.0,,81.6,51.3%,5.5%,14.0,,11.0,6.0,tm,0.0,21.0,,,,,,left_only
Earl Morrall,,1956-1976,5TM,,,,,,,,9.0,,,,,,,5.0,tm,0.0,21.0,,,,,,left_only
Richard Todd,20610.0,1976-1985,2TM,1610.0,2967.0,124.0,67.6,161.0,264.0,2127.0,11.0,173.2,54.3%,5.4%,9.0,,14.0,2.0,tm,0.0,10.0,,,,,,left_only
Trent Dilfer,20518.0,1994-2007,5TM,1759.0,3172.0,113.0,70.2,129.0,263.0,1730.0,,157.8,55.5%,4.1%,14.0,,15.0,5.0,tm,0.0,14.0,,,,,,left_only
Trent Dilfer,,1994-2007,3TM,,,,,,,,13.0,,,,,,,3.0,tm,0.0,14.0,,,,,,left_only
Billy Kilmer,20495.0,1961-1978,3TM,1585.0,2984.0,152.0,71.6,146.0,216.0,1644.0,,120.6,53.1%,4.9%,14.0,,16.0,3.0,tm,0.0,18.0,,,,,,left_only
Billy Kilmer,,1961-1978,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,18.0,,,,,,left_only
Aaron Brooks,20261.0,2000-2006,2TM,1673.0,2963.0,123.0,78.5,92.0,235.0,1454.0,,217.9,56.5%,3.1%,12.0,,18.0,2.0,tm,0.0,7.0,,,,,,left_only
Aaron Brooks,,2000-2006,nor,,,,,,,,5.0,,,,,,,1.0,NOR,0.0,7.0,,,,,,left_only
Jay Schroeder,20063.0,1985-1994,4TM,1426.0,2808.0,114.0,71.7,108.0,208.0,1600.0,,170.0,50.8%,3.8%,16.0,,17.0,4.0,tm,0.0,10.0,,,,,,left_only
Jay Schroeder,,1985-1994,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,10.0,,,,,,left_only
Charlie Conerly,19488.0,1948-1961,nyg,1418.0,2833.0,173.0,68.2,167.0,,1642.0,8.0,121.0,50.1%,5.9%,15.0,,19.0,1.0,NYG,0.0,14.0,,,,,,left_only
Sam Bradford,19449.0,2010-2018,4TM,1855.0,2967.0,103.0,84.5,61.0,196.0,1371.0,,234.3,62.5%,2.1%,7.0,,8.0,4.0,tm,0.0,9.0,2010.0,2017.0,129.982,237.559,"{'Rams': 65.06, 'Vikings': 25.0, 'Eagles': 23.985, 'Cardinals': 15.938}",both
Sam Bradford,,2010-2018,2TM,,,,,,,,8.0,,,,,,,2.0,tm,0.0,9.0,2010.0,2017.0,129.982,237.559,"{'Rams': 65.06, 'Vikings': 25.0, 'Eagles': 23.985, 'Cardinals': 15.938}",both
Brian Griese,19440.0,1998-2008,4TM,1752.0,2796.0,119.0,82.7,99.0,193.0,1326.0,12.0,209.0,62.7%,3.5%,9.0,,12.0,4.0,tm,0.0,11.0,,,,,,left_only
Chris Miller,19320.0,1987-1999,3TM,1580.0,2892.0,123.0,74.9,102.0,209.0,1527.0,,197.1,54.6%,3.5%,8.0,,11.0,3.0,tm,0.0,13.0,,,,,,left_only
Chris Miller,,1987-1999,2TM,,,,,,,,10.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Daryle Lamonica,19154.0,1963-1974,2TM,1288.0,2601.0,164.0,72.9,138.0,166.0,1416.0,,126.8,49.5%,5.3%,18.0,,17.0,2.0,tm,0.0,12.0,,,,,,left_only
Tobin Rote,18850.0,1950-1966,4TM,1329.0,2907.0,148.0,56.8,191.0,,2116.0,,126.5,45.7%,6.6%,7.0,,7.0,4.0,tm,0.0,17.0,,,,,,left_only
Tobin Rote,,1950-1966,3TM,,,,,,,,13.0,,,,,,,3.0,tm,0.0,17.0,,,,,,left_only
Billy Wade,18530.0,1954-1966,2TM,1370.0,2523.0,124.0,72.2,134.0,128.0,1801.0,8.0,144.8,54.3%,5.3%,10.0,,11.0,2.0,tm,0.0,13.0,,,,,,left_only
Dan Pastorini,18515.0,1971-1983,4TM,1556.0,3055.0,103.0,59.1,161.0,246.0,2229.0,,132.3,50.9%,5.3%,14.0,,19.0,4.0,tm,0.0,13.0,,,,,,left_only
Dan Pastorini,,1971-1983,2TM,,,,,,,,6.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Mark Rypien,18473.0,1988-2001,5TM,1466.0,2613.0,115.0,78.9,88.0,97.0,664.0,,177.6,56.1%,3.4%,8.0,,12.0,5.0,tm,0.0,14.0,,,,,,left_only
Mark Rypien,,1988-2001,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,14.0,,,,,,left_only
Bert Jones,18190.0,1973-1982,2TM,1430.0,2551.0,124.0,78.2,101.0,232.0,2020.0,,178.3,56.1%,4.0%,8.0,,11.0,2.0,tm,0.0,10.0,,,,,,left_only
Bert Jones,,1973-1982,clt,,,,,,,,7.0,,,,,,,1.0,CLT,0.0,10.0,,,,,,left_only
Jim McMahon,18148.0,1982-1996,6TM,1492.0,2573.0,100.0,78.2,90.0,226.0,1344.0,,152.5,58.0%,3.5%,11.0,,14.0,6.0,tm,0.0,15.0,,,,,,left_only
Jim McMahon,,1982-1996,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,15.0,,,,,,left_only
Kyle Orton,18037.0,2005-2014,5TM,1613.0,2712.0,101.0,81.2,69.0,165.0,1016.0,,207.3,59.5%,2.5%,8.0,,9.0,5.0,tm,0.0,10.0,2005.0,2014.0,30.868,64.794,"{'Broncos': 10.741, 'Cowboys': 7.25, 'Bills': 6.0, 'Bears': 4.273, 'Chiefs': 2.604}",both
Kyle Orton,,2005-2014,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,10.0,2005.0,2014.0,30.868,64.794,"{'Broncos': 10.741, 'Cowboys': 7.25, 'Bills': 6.0, 'Bears': 4.273, 'Chiefs': 2.604}",both
Chad Pennington,17823.0,2000-2010,2TM,1632.0,2471.0,102.0,90.1,64.0,162.0,965.0,6.0,200.3,66.0%,2.6%,7.0,,10.0,2.0,tm,0.0,11.0,2000.0,2010.0,61.456,176.322,"{'Jets': 47.256, 'Dolphins': 14.2}",both
Justin Herbert,17801.0,2020-2024,sdg,1672.0,2513.0,119.0,95.7,,136.0,901.0,4.0,269.7,66.5%,1.7%,11.0,,14.0,1.0,SDG,0.0,5.0,2020.0,9999.0,39.476,48.271,{'Chargers': 39.476},both
Josh McCown,17731.0,2002-2019,9TM,1584.0,2633.0,98.0,79.7,82.0,235.0,1563.0,,173.8,60.2%,3.1%,6.0,,7.0,9.0,tm,0.0,18.0,2002.0,2020.0,51.231,95.779,"{'Jets': 17.625, 'Browns': 9.625, 'Buccaneers': 4.75, 'Lions': 4.0, 'Panthers': 3.7, 'Cardinals': 2.818, 'Dolphins': 2.55, 'Eagles': 2.096, 'Raiders': 2.0, 'Bears': 1.541, 'Texans': 0.526}",both
Josh McCown,,2002-2019,3TM,,,,,,,,5.0,,,,,,,3.0,tm,0.0,18.0,2002.0,2020.0,51.231,95.779,"{'Jets': 17.625, 'Browns': 9.625, 'Buccaneers': 4.75, 'Lions': 4.0, 'Panthers': 3.7, 'Cardinals': 2.818, 'Dolphins': 2.55, 'Eagles': 2.096, 'Raiders': 2.0, 'Bears': 1.541, 'Texans': 0.526}",both
Blake Bortles,17649.0,2014-2019,2TM,1562.0,2634.0,103.0,80.6,75.0,195.0,1158.0,,226.3,59.3%,2.8%,6.0,,8.0,2.0,tm,0.0,6.0,2014.0,2021.0,47.771,76.037,"{'Jaguars': 46.155, 'Rams': 1.054, 'Broncos': 0.401, 'Saints': 0.088, 'Packers': 0.074}",both
Blake Bortles,,2014-2019,jax,,,,,,,,13.0,,,,,,,1.0,JAX,0.0,6.0,2014.0,2021.0,47.771,76.037,"{'Jaguars': 46.155, 'Rams': 1.054, 'Broncos': 0.401, 'Saints': 0.088, 'Packers': 0.074}",both
Deshaun Watson,17608.0,2017-2024,2TM,1496.0,2265.0,123.0,98.8,,237.0,1395.0,4.0,248.0,66.0%,2.1%,9.0,,11.0,2.0,tm,0.0,8.0,2017.0,9999.0,142.762,177.684,"{'Browns': 91.368, 'Texans': 51.394}",both
Milt Plum,17536.0,1957-1969,4TM,1306.0,2419.0,122.0,72.2,127.0,116.0,1711.0,,135.9,54.0%,5.3%,8.0,,9.0,4.0,tm,0.0,13.0,,,,,,left_only
Milt Plum,,1957-1969,2TM,,,,,,,,8.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Matt Cassel,17508.0,2005-2018,7TM,1578.0,2683.0,104.0,78.5,82.0,210.0,1157.0,,163.6,58.8%,3.1%,9.0,,12.0,7.0,tm,0.0,14.0,2005.0,2018.0,65.494,131.486,"{'Chiefs': 46.0, 'Vikings': 9.45, 'Titans': 4.75, 'Cowboys': 1.765, 'Patriots': 1.589, 'Lions': 1.105, 'Bills': 0.835}",both
Matt Cassel,,2005-2018,5TM,,,,,,,,10.0,,,,,,,5.0,tm,0.0,14.0,2005.0,2018.0,65.494,131.486,"{'Chiefs': 46.0, 'Vikings': 9.45, 'Titans': 4.75, 'Cowboys': 1.765, 'Patriots': 1.589, 'Lions': 1.105, 'Bills': 0.835}",both
Wade Wilson,17283.0,1981-1998,5TM,1391.0,2428.0,99.0,75.6,102.0,217.0,1508.0,,138.3,57.3%,4.2%,6.0,,11.0,5.0,tm,0.0,18.0,,,,,,left_only
Wade Wilson,,1981-1998,4TM,,,,,,,,9.0,,,,,,,4.0,tm,0.0,18.0,,,,,,left_only
Bill Kenney,17277.0,1980-1988,kan,1330.0,2430.0,105.0,77.0,86.0,195.0,1487.0,7.0,163.0,54.7%,3.5%,,,6.0,1.0,KAN,0.0,9.0,,,,,,left_only
Don Meredith,17199.0,1960-1968,dal,1170.0,2308.0,135.0,74.8,111.0,257.0,1909.0,13.0,165.4,50.7%,4.8%,8.0,,8.0,1.0,DAL,0.0,9.0,,,,,,left_only
Stan Humphries,17191.0,1989-1997,2TM,1431.0,2516.0,89.0,75.8,84.0,144.0,1182.0,11.0,195.4,56.9%,3.3%,8.0,,10.0,2.0,tm,0.0,9.0,,,,,,left_only
Lamar Jackson,17093.0,2018-2024,rav,1460.0,2262.0,134.0,98.6,,174.0,884.0,,187.8,64.5%,2.0%,9.0,,11.0,1.0,RAV,0.0,7.0,2018.0,9999.0,112.488,132.419,{'Ravens': 112.488},both
Doug Williams,16998.0,1978-1989,2TM,1240.0,2507.0,100.0,69.4,93.0,84.0,734.0,,193.2,49.5%,3.7%,17.0,,20.0,2.0,tm,0.0,12.0,,,,,,left_only
Elvis Grbac,16774.0,1994-2001,3TM,1446.0,2445.0,99.0,79.6,81.0,129.0,907.0,12.0,159.8,59.1%,3.3%,8.0,,13.0,3.0,tm,0.0,8.0,,,,,,left_only
Jason Campbell,16771.0,2006-2014,5TM,1519.0,2518.0,87.0,81.7,60.0,170.0,1096.0,,186.3,60.3%,2.4%,7.0,,10.0,5.0,tm,0.0,9.0,2005.0,2014.0,24.458,53.842,"{'Commanders': 10.215, 'Raiders': 7.743, 'Bears': 3.5, 'Browns': 1.5, 'Bengals': 1.5}",both
Jason Campbell,,2006-2014,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,9.0,2005.0,2014.0,24.458,53.842,"{'Commanders': 10.215, 'Raiders': 7.743, 'Bears': 3.5, 'Browns': 1.5, 'Bengals': 1.5}",both
Kyler Murray,16619.0,2019-2024,crd,1586.0,2377.0,101.0,92.6,,160.0,1146.0,7.0,237.4,66.7%,2.0%,9.0,,11.0,1.0,CRD,0.0,6.0,2019.0,9999.0,99.134,122.019,{'Cardinals': 99.134},both
Jeff Hostetler,16430.0,1985-1997,3TM,1357.0,2338.0,94.0,80.5,71.0,207.0,1158.0,7.0,108.1,58.0%,3.0%,8.0,,10.0,3.0,tm,0.0,13.0,,,,,,left_only
Rodney Peete,16338.0,1989-2004,6TM,1344.0,2346.0,76.0,73.3,92.0,244.0,1372.0,,157.1,57.3%,3.9%,9.0,,14.0,6.0,tm,0.0,16.0,,,,,,left_only
Rodney Peete,,1989-2004,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,16.0,,,,,,left_only
Geno Smith,16289.0,2013-2024,4TM,1457.0,2276.0,89.0,87.1,61.0,190.0,1367.0,,198.6,64.0%,2.7%,10.0,,16.0,4.0,tm,0.0,12.0,2013.0,9999.0,45.015,57.149,"{'Seahawks': 37.795, 'Jets': 5.02, 'Giants': 1.2, 'Chargers': 1.0}",both
Geno Smith,,2013-2024,2TM,,,,,,,,9.0,,,,,,,2.0,tm,0.0,12.0,2013.0,9999.0,45.015,57.149,"{'Seahawks': 37.795, 'Jets': 5.02, 'Giants': 1.2, 'Chargers': 1.0}",both
Mike Tomczak,16079.0,1985-1999,4TM,1248.0,2337.0,88.0,68.9,106.0,114.0,809.0,,86.9,53.4%,4.5%,6.0,,12.0,4.0,tm,0.0,15.0,,,,,,left_only
Mike Tomczak,,1985-1999,2TM,,,,,,,,6.0,,,,,,,2.0,tm,0.0,15.0,,,,,,left_only
Greg Landry,16052.0,1968-1984,3TM,1276.0,2300.0,98.0,72.9,103.0,316.0,2503.0,,109.9,55.5%,4.5%,8.0,,8.0,3.0,tm,0.0,17.0,,,,,,left_only
Greg Landry,,1968-1984,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,17.0,,,,,,left_only
Frank Ryan,16042.0,1958-1970,3TM,1090.0,2133.0,149.0,77.6,111.0,196.0,1825.0,,127.3,51.1%,5.2%,8.0,,9.0,3.0,tm,0.0,13.0,,,,,,left_only
Frank Ryan,,1958-1970,cle,,,,,,,,4.0,,,,,,,1.0,CLE,0.0,13.0,,,,,,left_only
David Garrard,16003.0,2002-2010,jax,1406.0,2281.0,89.0,85.8,54.0,179.0,1115.0,4.0,186.1,61.6%,2.4%,10.0,,17.0,1.0,JAX,0.0,9.0,2013.0,2013.0,0.688,1.429,{'Jets': 0.688},both
Marcus Mariota,15818.0,2015-2024,5TM,1328.0,2121.0,93.0,89.1,55.0,186.0,1198.0,,173.8,62.6%,2.6%,11.0,,14.0,5.0,tm,0.0,10.0,2015.0,9999.0,71.086,101.182,"{'Titans': 45.136, 'Raiders': 11.2, 'Falcons': 6.75, 'Eagles': 5.0, 'Commanders': 3.0}",both
Marcus Mariota,,2015-2024,oti,,,,,,,,6.0,,,,,,,1.0,OTI,0.0,10.0,2015.0,9999.0,71.086,101.182,"{'Titans': 45.136, 'Raiders': 11.2, 'Falcons': 6.75, 'Eagles': 5.0, 'Commanders': 3.0}",both
Scott Mitchell,15692.0,1991-2001,4TM,1301.0,2346.0,95.0,75.3,81.0,155.0,882.0,,158.5,55.5%,3.5%,6.0,,9.0,4.0,tm,0.0,11.0,,,,,,left_only
Scott Mitchell,,1991-2001,2TM,,,,,,,,8.0,,,,,,,2.0,tm,0.0,11.0,,,,,,left_only
Ed Brown,15600.0,1954-1965,3TM,949.0,1987.0,102.0,62.8,138.0,119.0,1776.0,,101.3,47.8%,6.9%,14.0,,14.0,3.0,tm,0.0,12.0,,,,,,left_only
Ed Brown,,1954-1965,2TM,,,,,,,,11.0,,,,,,,2.0,tm,0.0,12.0,,,,,,left_only
Jimmy Garoppolo,15494.0,2014-2023,3TM,1277.0,1895.0,94.0,97.6,51.0,137.0,921.0,,191.3,67.4%,2.7%,13.0,,13.0,3.0,tm,0.0,10.0,2014.0,9999.0,150.776,201.498,"{'49ers': 121.687, 'Raiders': 24.07, 'Patriots': 3.05, 'Rams': 1.969}",both
Joe Burrow,15453.0,2020-2024,cin,1413.0,2068.0,109.0,99.9,,159.0,1095.0,4.0,271.1,68.3%,1.9%,5.0,,7.0,1.0,CIN,0.0,5.0,2020.0,9999.0,76.19,91.242,{'Bengals': 76.19},both
Mark Sanchez,15357.0,2009-2018,4TM,1314.0,2320.0,86.0,73.2,89.0,168.0,1090.0,,194.4,56.6%,3.8%,8.0,,10.0,4.0,tm,0.0,10.0,2009.0,2018.0,66.298,132.958,"{'Jets': 54.225, 'Eagles': 6.75, 'Cowboys': 2.0, 'Bears': 2.0, 'Broncos': 1.0, 'Commanders': 0.323}",both
Mark Sanchez,,2009-2018,3TM,,,,,,,,9.0,,,,,,,3.0,tm,0.0,10.0,2009.0,2018.0,66.298,132.958,"{'Jets': 54.225, 'Eagles': 6.75, 'Cowboys': 2.0, 'Bears': 2.0, 'Broncos': 1.0, 'Commanders': 0.323}",both
Erik Kramer,15337.0,1987-1999,4TM,1317.0,2299.0,92.0,76.6,79.0,122.0,788.0,,184.8,57.3%,3.4%,11.0,,14.0,4.0,tm,0.0,13.0,,,,,,left_only
Erik Kramer,,1987-1999,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,13.0,,,,,,left_only
Tony Banks,15315.0,1996-2005,4TM,1278.0,2356.0,77.0,72.4,73.0,227.0,1432.0,7.0,159.5,54.2%,3.1%,5.0,,7.0,4.0,tm,0.0,10.0,,,,,,left_only
Case Keenum,15175.0,2013-2023,7TM,1392.0,2233.0,79.0,84.6,51.0,131.0,989.0,,189.7,62.3%,2.3%,7.0,,11.0,7.0,tm,0.0,11.0,2012.0,9999.0,48.184,66.635,"{'Broncos': 22.0, 'Browns': 12.5, 'Texans': 3.822, 'Commanders': 3.5, 'Bills': 3.5, 'Vikings': 2.0, 'Rams': 0.862}",both
Case Keenum,,2013-2023,3TM,,,,,,,,6.0,,,,,,,3.0,tm,0.0,11.0,2012.0,9999.0,48.184,66.635,"{'Broncos': 22.0, 'Browns': 12.5, 'Texans': 3.822, 'Commanders': 3.5, 'Bills': 3.5, 'Vikings': 2.0, 'Rams': 0.862}",both
Teddy Bridgewater,15120.0,2014-2023,6TM,1372.0,2067.0,75.0,90.5,,166.0,1114.0,,191.4,66.4%,2.3%,5.0,,7.0,6.0,tm,0.0,10.0,2014.0,2023.0,65.053,89.064,"{'Panthers': 31.016, 'Saints': 12.25, 'Vikings': 6.85, 'Dolphins': 6.5, 'Broncos': 4.438, 'Lions': 3.0, 'Jets': 1.0}",both
Kordell Stewart,14746.0,1995-2005,3TM,1316.0,2358.0,77.0,70.7,84.0,170.0,1048.0,,118.0,55.8%,3.6%,9.0,,14.0,3.0,tm,0.0,11.0,,,,,,left_only
Kordell Stewart,,1995-2005,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,11.0,,,,,,left_only
Doug Flutie,14715.0,1986-2005,4TM,1177.0,2151.0,86.0,76.3,68.0,107.0,687.0,,159.9,54.7%,3.2%,8.0,,10.0,4.0,tm,0.0,20.0,,,,,,left_only
Joey Harrington,14693.0,2002-2007,3TM,1424.0,2538.0,79.0,69.4,85.0,124.0,770.0,14.0,181.4,56.1%,3.3%,6.0,,7.0,3.0,tm,0.0,6.0,,,,,,left_only
Sid Luckman,14686.0,1939-1950,chi,904.0,1744.0,137.0,75.0,132.0,,,,114.7,51.8%,7.6%,4.0,,5.0,1.0,CHI,1.0,12.0,,,,,,left_only
