Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
Kerry Collins,40922.0,1995-2011,6TM,3487.0,6261.0,208.0,73.8,196.0,337.0,2230.0,,206.7,55.7%,3.1%,21.0,,30.0,6.0,tm,0.0,17.0,,,,,,left_only
Kerry Collins,,1995-2011,4TM,,,,,,,,20.0,,,,,,,4.0,tm,0.0,17.0,,,,,,left_only
Kirk Cousins,40844.0,2012-2024,3TM,3584.0,5354.0,278.0,98.0,115.0,314.0,2277.0,,263.5,66.9%,2.1%,25.0,94.0,31.0,3.0,tm,0.0,13.0,2012.0,9999.0,281.469,364.089,"{'Vikings': 185.0, 'Falcons': 50.0, 'Commanders': 46.469}",both
Kirk Cousins,,2012-2024,2TM,,,,,,,,14.0,,,,,,,2.0,tm,0.0,13.0,2012.0,9999.0,281.469,364.089,"{'Vikings': 185.0, 'Falcons': 50.0, 'Commanders': 46.469}",both
Joe Montana,40551.0,1979-1994,2TM,3409.0,5391.0,273.0,92.3,139.0,313.0,2095.0,,211.2,63.2%,2.6%,26.0,125.0,28.0,2.0,tm,1.0,16.0,,,,,,left_only
Joe Montana,,1979-1994,sfo,,,,,,,,6.0,,,,,,,1.0,SFO,1.0,16.0,,,,,,left_only
Johnny Unitas,40239.0,1956-1973,2TM,2830.0,5186.0,290.0,78.2,253.0,307.0,3090.0,,190.7,54.6%,4.9%,34.0,113.0,38.0,2.0,tm,1.0,18.0,,,,,,left_only
Johnny Unitas,,1956-1973,clt,,,,,,,,17.0,,,,,,,1.0,CLT,1.0,18.0,,,,,,left_only
Derek Carr,40089.0,2014-2024,2TM,3666.0,5634.0,250.0,92.5,111.0,300.0,1868.0,17.0,244.4,65.1%,2.0%,28.0,,34.0,2.0,tm,0.0,11.0,2014.0,9999.0,165.519,222.531,"{'Raiders': 135.519, 'Saints': 30.0}",both
Andy Dalton,39186.0,2011-2024,5TM,3477.0,5560.0,251.0,87.7,146.0,353.0,2314.0,,226.5,62.5%,2.6%,25.0,,29.0,5.0,tm,0.0,14.0,2011.0,9999.0,106.514,165.826,"{'Bengals': 83.514, 'Bears': 10.0, 'Panthers': 6.0, 'Saints': 4.0, 'Cowboys': 3.0}",both
Andy Dalton,,2011-2024,4TM,,,,,,,,18.0,,,,,,,4.0,tm,0.0,14.0,2011.0,9999.0,106.514,165.826,"{'Bengals': 83.514, 'Bears': 10.0, 'Panthers': 6.0, 'Saints': 4.0, 'Cowboys': 3.0}",both
Dave Krieg,38147.0,1980-1998,6TM,3105.0,5311.0,261.0,81.5,199.0,494.0,3794.0,,179.1,58.5%,3.7%,23.0,97.0,25.0,6.0,tm,0.0,19.0,,,,,,left_only
Dave Krieg,,1980-1998,2TM,,,,,,,,12.0,,,,,,,2.0,tm,0.0,19.0,,,,,,left_only
Boomer Esiason,37920.0,1984-1997,3TM,2969.0,5205.0,247.0,81.1,184.0,318.0,2438.0,,202.8,57.0%,3.5%,19.0,106.0,26.0,3.0,tm,0.0,14.0,,,,,,left_only
Boomer Esiason,,1984-1997,2TM,,,,,,,,11.0,,,,,,,2.0,tm,0.0,14.0,,,,,,left_only
Donovan McNabb,37276.0,1999-2011,3TM,3170.0,5374.0,234.0,85.6,117.0,410.0,2626.0,,223.2,59.0%,2.2%,16.0,107.0,24.0,3.0,tm,0.0,13.0,1999.0,2010.0,96.921,278.421,"{'Eagles': 76.765, 'Commanders': 15.106, 'Vikings': 5.05}",both
Donovan McNabb,,1999-2011,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,13.0,1999.0,2010.0,96.921,278.421,"{'Eagles': 76.765, 'Commanders': 15.106, 'Vikings': 5.05}",both
Matt Hasselbeck,36638.0,1999-2015,4TM,3222.0,5330.0,212.0,82.4,153.0,360.0,2260.0,,175.3,60.5%,2.9%,15.0,,24.0,4.0,tm,0.0,17.0,1998.0,2015.0,88.163,227.556,"{'Seahawks': 62.65, 'Titans': 14.5, 'Colts': 10.25, 'Packers': 0.763}",both
Matt Hasselbeck,,1999-2015,2TM,,,,,,,,13.0,,,,,,,2.0,tm,0.0,17.0,1998.0,2015.0,88.163,227.556,"{'Seahawks': 62.65, 'Titans': 14.5, 'Colts': 10.25, 'Packers': 0.763}",both
Alex Smith,35650.0,2005-2020,3TM,3250.0,5193.0,199.0,86.9,109.0,432.0,2463.0,8.0,204.9,62.6%,2.1%,19.0,98.0,23.0,3.0,tm,0.0,16.0,2005.0,2020.0,210.0,375.107,"{'49ers': 71.5, 'Commanders': 71.0, 'Chiefs': 67.5}",both
Jim Kelly,35467.0,1986-1996,buf,2874.0,4779.0,237.0,84.4,175.0,323.0,2427.0,12.0,221.7,60.1%,3.7%,21.0,103.0,28.0,1.0,BUF,1.0,11.0,,,,,,left_only
Jay Cutler,35133.0,2006-2017,3TM,3048.0,4920.0,227.0,85.3,160.0,322.0,2035.0,19.0,229.6,62.0%,3.3%,23.0,,28.0,3.0,tm,0.0,12.0,2006.0,2017.0,127.875,248.869,"{'Bears': 103.905, 'Broncos': 13.97, 'Dolphins': 10.0}",both
