Player,Years Active,Career Earnings,Cap-Inflated Earnings,Earnings By Team
Logan Thomas,2014‑2015,"$1,649,192","$2,788,290","Cardinals: $852,092 Dolphins: $375,000 49ers: $300,000 Lions: $66,900 Giants: $55,200"
James Morgan,2020‑2021,"$1,571,364","$2,046,177","Jets: $1,389,664 Panthers: $92,000 Colts: $46,000 Cardinals: $34,500 Steelers: $9,200"
Ryan Lindley,2012‑2015,"$1,546,544","$3,137,215","Cardinals: $1,444,720 Chargers: $63,000 Colts: $38,824"
Zac Dysert,2013‑2017,"$1,530,630","$2,699,944","Broncos: $623,200 Cowboys: $615,000 Cardinals: $213,230 Texans: $66,000 Bills: $13,200"
Cardale Jones,2016‑2018,"$1,518,592","$2,404,602","Bills: $833,392 Chargers: $669,200 Seahawks: $16,000"
Chris Streveler,2020‑2022,"$1,512,666","$1,978,354","Cardinals: $1,086,667 Jets: $379,999 Ravens: $46,000"
Kellen Moore,2017‑2017,"$1,484,565","$2,433,650","Cowboys: $1,144,565 Lions: $340,000"
Shane Buechele,2021‑,"$1,481,333","$1,857,681","Chiefs: $1,225,333 Bills: $256,000"
Garrett Grayson,2015‑2018,"$1,475,349","$2,562,941","Saints: $1,320,149 Falcons: $79,200 Broncos: $76,000"
Kyle Sloter,2017‑2020,"$1,456,464","$2,101,756","Vikings: $1,063,758 Lions: $189,706 Cardinals: $96,000 Bears: $67,200 Raiders: $36,800 Broncos: $3,000"
Matt Corral,2022‑2022,"$1,381,461","$1,688,616","Panthers: $1,381,461"
Sean Renfree,2013‑2015,"$1,358,896","$2,573,199","Falcons: $1,338,896 Buccaneers: $20,000"
Aidan O'Connell,2023‑,"$1,259,380","$1,430,808","Raiders: $1,259,380"
Aaron Murray,2014‑2016,"$1,246,224","$2,287,108","Chiefs: $1,128,924 Eagles: $110,400 Cardinals: $6,900"
Jake Haener,2023‑,"$1,204,812","$1,368,812","Saints: $1,204,812"
Ben DiNucci,2020‑2023,"$1,195,747","$1,509,639","Cowboys: $870,748 Broncos: $324,999"
Alex McGough,2018‑2023,"$1,181,096","$1,570,120","Texans: $548,604 Seahawks: $266,492 Packers: $216,000 Jaguars: $150,000"
Chad Kelly,2017‑2019,"$1,166,307","$1,671,086","Broncos: $638,166 Colts: $528,141"
Stetson Bennett,2023‑,"$1,149,132","$1,305,553","Rams: $1,149,132"
Jimmy Clausen,2015‑2015,"$1,125,000","$2,005,339","Bears: $862,059 Ravens: $262,941"
Clayton Tune,2023‑,"$1,100,624","$1,250,442","Cardinals: $1,100,624"
Sean Clifford,2023‑,"$1,074,180","$1,220,398","Packers: $1,074,180"
Reid Sinnett,2020‑2021,"$1,065,064","$1,426,755","Dolphins: $437,098 Eagles: $414,833 Buccaneers: $152,800 Bengals: $60,333"
Dorian Thompson-Robinson,2023‑,"$1,058,935","$1,203,078","Browns: $1,058,935"
Jaren Hall,2023‑,"$1,029,272","$1,169,378","Vikings: $1,029,272"
Kurt Benkert,2018‑2021,"$1,022,549","$1,388,137","Falcons: $737,482 Packers: $193,067 49ers: $92,000"
Brad Kaaya,2017‑2018,"$1,017,180","$1,506,758","Colts: $582,353 Lions: $270,709 Panthers: $164,118"
B.J. Daniels,2013‑2016,"$1,000,448","$1,882,237","Seahawks: $695,901 49ers: $141,806 Falcons: $102,741 Texans: $60,000"
Tanner McKee,2023‑,"$936,520","$1,064,000","Eagles: $936,520"
Danny Etling,2018‑2022,"$841,212","$1,128,750","Patriots: $233,228 Packers: $216,200 Seahawks: $170,400 Falcons: $157,117 Jaguars: $55,067 Broncos: $9,200"
Seneca Wallace,2013‑2013,"$840,000","$1,744,195","Packers: $840,000"
Joe Callahan,2016‑2019,"$837,471","$1,322,966","Packers: $620,177 Browns: $132,353 Saints: $52,941 Lions: $32,000"
Greg McElroy,2011‑2013,"$815,152","$1,723,348","Jets: $713,152 Bengals: $102,000"
Tyson Bagent,2023‑,"$775,000","$880,494","Bears: $775,000"
Clayton Thorson,2019‑2021,"$726,499","$974,635","Eagles: $274,368 Giants: $266,131 Cowboys: $186,000"
Luke Falk,2018‑2018,"$719,008","$1,021,179","Dolphins: $390,529 Jets: $179,647 Titans: $148,832"
Nate Stanley,2020‑2021,"$707,015","$946,135","Vikings: $707,015"
Curtis Painter,2013‑2013,"$695,000","$1,432,966","Giants: $695,000"
David Garrard,2013‑2013,"$688,235","$1,429,067","Jets: $688,235"
Chris Oladokun,2022‑2023,"$677,619","$778,380","Chiefs: $587,667 Steelers: $89,952"
Jacob Dolegala,2019‑2020,"$671,200","$903,221","Bengals: $500,000 Patriots: $134,400 Dolphins: $36,800"
Tyler Wilson,2013‑2013,"$654,018","$1,358,018","Raiders: $606,371 Titans: $47,647"
Malik Cunningham,2023‑,"$653,335","$742,268","Patriots: $486,668 Ravens: $166,667"
Brad Sorensen,2013‑2015,"$642,300","$1,284,006","Chargers: $636,000 Titans: $6,300"
Josh Woodrum,2017‑2019,"$638,053","$915,383","Commanders: $378,000 Ravens: $192,000 Browns: $27,353 Bears: $20,700 Colts: $20,000"
Stephen Morris,2015‑2015,"$630,299","$1,098,330","Colts: $363,823 Eagles: $136,976 Jaguars: $129,500"
Tommy DeVito,2023‑,"$621,668","$706,290","Giants: $621,668"
Nathan Rourke,2023‑2023,"$615,000","$698,714","Jaguars: $490,000 Patriots: $125,000"
Devlin Hodges,2019‑2020,"$596,565","$799,801","Steelers: $596,565"
Trevone Boykin,2016‑2017,"$587,400","$952,059","Seahawks: $587,400"
Nathan Enderle,2011‑2011,"$543,860","$1,153,909","Bears: $543,860"
Brady Quinn,2013‑2013,"$536,352","$1,113,694","Rams: $242,823 Jets: $228,529 Seahawks: $65,000"
Matt Simms,2019‑2019,"$525,106","$752,483","Falcons: $474,706 Jets: $50,400"
Thaddeus Lewis,2016‑2016,"$458,000","$766,300","49ers: $428,000 Bills: $30,000"
Chandler Harnish,2012‑2013,"$450,361","$930,933","Colts: $358,243 Vikings: $92,118"
Tyree Jackson,9999‑0,"$450,277","$515,776","Giants: $375,277 Bills: $75,000"
Steven Montez,2020‑2022,"$435,346","$577,208","Commanders: $235,246 Lions: $200,100"
Zac Robinson,2013‑2013,"$417,529","$866,967","Bengals: $417,529"
Kyle Shurmur,2019‑2020,"$388,102","$532,358","Chiefs: $188,235 Commanders: $174,667 Bengals: $25,200"
Keith Wenning,2014‑2016,"$387,237","$718,404","Ravens: $211,172 Bengals: $169,165 Giants: $6,900"
Anthony Brown,2022‑2022,"$365,334","$448,157","Ravens: $365,334"
Max Duggan,2023‑2023,"$361,554","$410,769","Chargers: $361,554"
Max McCaffrey,2017‑2017,"$349,477","$532,544","Jaguars: $164,118 49ers: $112,459 Packers: $50,400 Saints: $16,000 Raiders: $6,500"
Brandon Doughty,2017‑2017,"$343,221","$541,172","Dolphins: $343,221"
Spencer Rattler,2024‑,"$336,480","$336,480","Saints: $336,480"
Carson Strong,9999‑0,"$331,500","$406,653","Eagles: $320,000 Cardinals: $11,500"
Matt Blanchard,9999‑0,"$294,629","$560,320","Panthers: $255,029 Browns: $19,800 Colts: $19,800"
Tanner Lee,2018‑2018,"$291,379","$419,967","Jaguars: $291,379"
Chase Garbers,2022‑2022,"$277,333","$340,206","Raiders: $277,333"
Connor Shaw,9999‑0,"$269,918","$454,160","Bears: $164,118 Browns: $105,800"
EJ Perry,2022‑2023,"$266,000","$323,043","Jaguars: $266,000"
Jordan Travis,2024‑,"$254,276","$254,276","Jets: $254,276"
Sam Hartman,2024‑,"$245,000","$245,000","Commanders: $245,000"
Tommy Stevens,2020‑2020,"$242,474","$312,451","Saints: $156,192 Panthers: $86,282"
Jarrett Guarantano,2022‑2022,"$224,167","$274,987","Broncos: $178,167 Cardinals: $46,000"
Mike Kafka,9999‑0,"$215,971","$410,675","Buccaneers: $186,547 Vikings: $22,824 Titans: $6,600"
Chase Litton,2018‑2018,"$205,200","$291,039","Chiefs: $149,200 Jaguars: $56,000"
Adam Weber,2011‑2012,"$203,800","$432,020","Broncos: $106,900 Buccaneers: $96,900"
Jameill Showers,2015‑2015,"$191,811","$328,802","Cowboys: $191,811"
Chad Kanoff,2018‑2018,"$188,471","$270,297","Cardinals: $172,471 Lions: $16,000"
Joe Milton III,2024‑,"$183,316","$183,316","Patriots: $183,316"
Brian Lewerke,2021‑2021,"$176,600","$245,398","Giants: $174,100 Patriots: $2,500"
Jordan Ta'amu,2020‑2020,"$163,200","$211,319","Chiefs: $154,000 Panthers: $9,200"
J.T. Barrett,2018‑2019,"$162,000","$229,448","Saints: $154,000 Steelers: $8,000"
Manny Wilkins,2019‑2019,"$143,000","$194,061","Packers: $143,000"
B.J. Coleman,2012‑2012,"$142,796","$302,405","Packers: $142,796"
Devin Leary,2024‑,"$138,388","$138,388","Ravens: $138,388"
Trevor Knight,2017‑2017,"$125,400","$191,779","Falcons: $122,400 Cardinals: $3,000"
Carter Bradley,2024‑,"$125,000","$125,000","Raiders: $125,000"
Tanner Mordecai,2024‑,"$125,000","$125,000","49ers: $125,000"
Jeff Garcia,2011‑2011,"$123,529","$262,092","Texans: $123,529"
Case Cookus,2022‑2022,"$115,500","$143,851","Rams: $80,500 Giants: $35,000"
Cole McDonald,9999‑0,"$101,684","$131,030","Titans: $101,684"
Joel Stave,2017‑2017,"$96,200","$154,078","Vikings: $53,300 Jets: $21,600 Commanders: $14,400 Seahawks: $6,900"
Michael Pratt,2024‑,"$86,940","$86,940","Packers: $86,940"
Dylan Thompson,9999‑0,"$86,000","$153,297","49ers: $86,000"
Eric Dungey,9999‑0,"$85,000","$115,351","Browns: $80,000 Giants: $5,000"
Drew Plitt,2023‑2023,"$84,000","$95,434","Bengals: $84,000"
Dresser Winn,2023‑2023,"$83,334","$94,678","Rams: $83,334"
Tajh Boyd,9999‑0,"$78,680","$151,089","Jets: $78,680"
Jordan Rodgers,2013‑2013,"$77,000","$159,885","Buccaneers: $72,000 Jaguars: $5,000"
Sefo Liufau,9999‑0,"$71,412","$109,213","Buccaneers: $71,412"
Nick Fitzgerald,9999‑0,"$70,000","$94,995","Buccaneers: $70,000"
Davis Cheek,2022‑2022,"$65,000","$79,736","Panthers: $65,000"
Jerod Evans,9999‑0,"$64,800","$99,101","Packers: $64,800"
Ryan Willis,2021‑2021,"$64,267","$89,939","Bears: $64,267"
Drew Anderson,2019‑2019,"$60,118","$81,584","Cardinals: $60,118"
Adrian Martinez,2024‑,"$60,000","$68,167","Lions: $60,000"
Jack Coan,9999‑0,"$60,000","$73,602","Colts: $60,000"
Jeff Tuel,9999‑0,"$59,400","$105,882","Jaguars: $59,400"
Jon Kitna,2013‑2013,"$56,471","$117,258","Cowboys: $56,471"
Tyler Ferguson,9999‑0,"$55,400","$84,726","Titans: $55,400"
Seth Lobato,9999‑0,"$53,400","$102,544","Dolphins: $50,400 Colts: $3,000"
Austin Allen,9999‑0,"$50,000","$72,065","Buccaneers: $50,000"
Rex Grossman,9999‑0,"$50,000","$96,015","Browns: $50,000"
Tanner Morgan,9999‑0,"$49,000","$55,670","Steelers: $25,000 Vikings: $24,000"
Mike Bercovici,9999‑0,"$46,700","$71,825","Cardinals: $43,200 Chargers: $3,500"
Kenji Bahar,9999‑0,"$45,867","$64,189","Ravens: $45,867"
Bryn Renner,9999‑0,"$42,788","$76,822","Ravens: $38,788 Broncos: $4,000"
Alek Torgersen,2017‑2017,"$41,000","$62,703","Commanders: $28,800 Lions: $7,200 Falcons: $5,000"
Anthony Gordon,2021‑2021,"$40,100","$54,732","Broncos: $27,600 Seahawks: $12,500"
McLeod Bethel-Thompson,9999‑0,"$38,100","$72,254","Vikings: $25,200 Dolphins: $6,600 Patriots: $6,300"
Dominique Davis,9999‑0,"$37,800","$72,587","Colts: $37,800"
Holton Ahlers,9999‑0,"$37,000","$42,036","Seahawks: $37,000"
Lance Ball,9999‑0,"$36,400","$78,188","Rams: $20,800 Titans: $15,600"
John Rhys Plumlee,2024‑,"$35,000","$35,000","Steelers: $35,000"
Pat Devlin,2015‑2015,"$34,412","$61,340","Browns: $34,412"
Caleb Hanie,9999‑0,"$32,647","$67,789","Browns: $32,647"
Dennis Dixon,9999‑0,"$31,300","$64,008","Eagles: $25,000 Cardinals: $6,300"
J'Mar Smith,9999‑0,"$30,000","$38,658","Patriots: $30,000"
Kedon Slovis,2024‑,"$30,000","$30,000","Jaguars: $30,000"
Dustin Vaughan,9999‑0,"$26,400","$47,059","Bills: $26,400"
Rusty Smith,9999‑0,"$24,000","$49,834","Titans: $24,000"
Jake Heaps,9999‑0,"$20,700","$34,049","Steelers: $20,700"
Wilton Speight,9999‑0,"$20,000","$27,141","49ers: $20,000"
Jason Bean,2024‑,"$20,000","$20,000","Colts: $20,000"
Josh Love,9999‑0,"$19,200","$25,761","Rams: $10,000 Panthers: $9,200"
Jeff Mathews,2014‑2014,"$18,900","$36,294","Cardinals: $12,600 Colts: $6,300"
Taryn Christion,9999‑0,"$18,000","$24,427","Seahawks: $10,000 Steelers: $8,000"
Chevan Cordeiro,9999‑0,"$17,500","$17,500","Seahawks: $17,500"
Kevin Davidson,9999‑0,"$17,500","$22,550","Browns: $17,500"
Brock Jensen,9999‑0,"$16,000","$30,725","Dolphins: $16,000"
Luis Perez,9999‑0,"$15,200","$21,908","Rams: $15,200"
Peewee Jarrett,9999‑0,"$15,000","$15,000","Jets: $15,000"
Levi Lewis,9999‑0,"$15,000","$18,401","Seahawks: $15,000"
G.J. Kinne,9999‑0,"$13,200","$23,529","Giants: $13,200"
Nic Shimonek,9999‑0,"$12,600","$18,160","Commanders: $7,600 Chargers: $5,000"
Cody Fajardo,9999‑0,"$12,500","$22,282","Raiders: $12,500"
James Blackman,9999‑0,"$12,000","$13,633","Dolphins: $12,000"
Jerrod Johnson,9999‑0,"$12,000","$24,917","Bears: $12,000"
Jack Plummer,2024‑,"$10,000","$10,000","Panthers: $10,000"
Bryan Bennett,9999‑0,"$10,000","$17,825","Colts: $10,000"
Rocky Lombardi,9999‑0,"$10,000","$10,000","Bengals: $10,000"
Casey Bauman,9999‑0,"$10,000","$10,000","Chargers: $10,000"
Riley Neal,9999‑0,"$8,000","$10,309","Broncos: $8,000"
Connor Halliday,9999‑0,"$7,500","$13,369","Commanders: $7,500"
Jalen Morton,9999‑0,"$7,000","$9,020","Packers: $7,000"
Keith Price,9999‑0,"$7,000","$13,442","Seahawks: $7,000"
Brandon Peters,9999‑0,"$7,000","$8,587","Chargers: $7,000"
Nolan Henderson,9999‑0,"$6,000","$6,817","Ravens: $6,000"
Austin Reed,2024‑,"$5,000","$5,000","Bears: $5,000"
Jerry Lovelocke,9999‑0,"$5,000","$8,913","Ravens: $5,000"
Peter Pujals,9999‑0,"$5,000","$7,207","Vikings: $5,000"
John Paddock,9999‑0,"$5,000","$5,000","Falcons: $5,000"
Eli Jenkins,9999‑0,"$5,000","$7,647","Chargers: $5,000"
Gavin Hardison,9999‑0,"$5,000","$5,000","Dolphins: $5,000"
Wes Lunt,9999‑0,"$5,000","$7,647","Vikings: $5,000"
Brendon Kay,9999‑0,"$5,000","$9,602","Steelers: $5,000"
Max Wittek,9999‑0,"$5,000","$8,224","Jaguars: $5,000"
Jake Coker,9999‑0,"$5,000","$8,224","Cardinals: $5,000"
Matt Johnson,9999‑0,"$5,000","$8,224","Bengals: $5,000"
Cole Kelley,9999‑0,"$5,000","$6,134","Commanders: $5,000"
Logan Kilgore,9999‑0,"$5,000","$9,602","Saints: $5,000"
Nick Schuessler,9999‑0,"$4,000","$6,117","Steelers: $4,000"
Chase Rettig,9999‑0,"$3,500","$6,721","Packers: $3,500"
Kory Faulkner,9999‑0,"$3,000","$5,761","49ers: $3,000"
Brett Smith,9999‑0,"$3,000","$5,761","Buccaneers: $3,000"
Anthony Boone,9999‑0,"$3,000","$5,348","Lions: $3,000"
Zack Annexstad,9999‑0,"$3,000","$3,000","Buccaneers: $3,000"
Zach Terrell,9999‑0,"$3,000","$4,588","Ravens: $3,000"
Tim DeMorat,9999‑0,"$2,500","$2,840","Commanders: $2,500"
Jake Waters,9999‑0,"$2,500","$4,456","Jaguars: $2,500"
Cole Stoudt,9999‑0,"$2,000","$3,565","Chargers: $2,000"
Skyler Howard,9999‑0,"$2,000","$3,059","Seahawks: $2,000"
James Franklin,9999‑0,"$2,000","$3,841","Lions: $2,000"
Austin Appleby,9999‑0,"$1,500","$2,294","Cowboys: $1,500"
Dalton Sturm,9999‑0,"$1,000","$1,441","Cowboys: $1,000"
Travis Partridge,9999‑0,"$1,000","$1,920","Vikings: $1,000"
Brogan Roback,9999‑0,"$1,000","$1,441","Browns: $1,000"
Tommy Rees,9999‑0,"$1,000","$1,920","Commanders: $1,000"
Nick Stevens,9999‑0,$500,$721,Broncos: $500
Broc Rutter,9999‑0,$279,$360,49ers: $279
