player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay,player_nfl,draft_yr,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ,team_names,teams,hof_yr,_merge
Brandon Doughty,Western Kentucky,161.0,4.0,2011.0,2015.0,1023,1491,68.6,12855,111,,1593,12570,115,8.6,9.1,,299.0,7.9,Brandon Doughty,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Dolphins'],0,0.0,both
Cooper Rush,Central Michigan,,3.0,2013.0,2016.0,1022,1648,62.0,12894,90,55,1863,12786,95,,,,257.9,6.9,Cooper Rush,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cowboys', 'Giants']",0,0.0,both
Connor Halliday,Washington State,,3.0,2011.0,2014.0,1014,1634,62.1,11308,90,50,1746,10816,90,,,,323.1,,Connor Halliday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Commanders'],0,0.0,both
Matt Barkley,USC,148.7,3.0,2009.0,2012.0,1001,1562,64.1,12327,116,48,1694,12214,122,,,,262.3,7.2,Matt Barkley,2013.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Bills', 'Eagles', 'Cardinals', 'Bengals', 'Bears', '49ers', 'Panthers', 'Giants', 'Jaguars', 'Titans', 'Falcons']",0,0.0,both
Brock Purdy,Iowa State,151.1,3.0,2018.0,2021.0,993,1467,67.7,12170,81,,1832,13347,100,8.3,8.4,,253.5,7.3,Brock Purdy,2022.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,['49ers'],"['San Francisco 49ers 2022', 'San Francisco 49ers 2022-2024']",0.0,both
Clayton Thorson,Northwestern,,3.0,2015.0,2018.0,991,1696,,10731,,45,2058,11139,88,,,,,,Clayton Thorson,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Eagles', 'Giants', 'Cowboys']",0,0.0,both
Kedon Slovis,Brigham Young,,4.0,2019.0,2023.0,989,1534,64.5,11689,80,,1682,11430,83,,,,254.1,6.8,Kedon Slovis,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Jaguars'],0,0.0,both
Geno Smith,West Virginia,153.5,3.0,2009.0,2012.0,988,1465,67.4,11662,98,,1710,12004,102,,8.7,,265.0,7.0,Geno Smith,2013.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"['Seahawks', 'Jets', 'Giants', 'Chargers']","['New York Jets 2013-2016', 'New York Giants 2017', 'Los Angeles Chargers 2018', 'Seattle Seahawks 2020-2024']",0.0,both
Curtis Painter,Purdue,,3.0,2005.0,2008.0,987,1648,,11163,67,46,1873,11511,80,,,,242.7,,Curtis Painter,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Giants'],0,0.0,both
Jared Goff,California,,2.0,2013.0,2015.0,977,1569,62.3,12200,96,,1739,12086,97,,8.1,,329.7,6.9,Jared Goff,2016.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"['Lions', 'Rams']","['Los Angeles Rams 2016-2017', 'Los Angeles Rams 2018-2019', 'Los Angeles Rams 2020', 'Detroit Lions 2021-2024']",0.0,both
Chevan Cordeiro,San Jose State,,5.0,2018.0,2023.0,971,1624,,12191,88,,2138,13811,113,,,,,,Chevan Cordeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Seahawks'],0,0.0,both
Kevin Kolb,Houston,145.1,3.0,2003.0,2006.0,964,1565,61.6,12964,85,,2037,13715,106,8.3,8.5,,259.3,6.7,Kevin Kolb,2007.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cardinals', 'Eagles', 'Bills']",0,0.0,both
Ryan Lindley,San Diego State,,3.0,2008.0,2011.0,961,1732,,12690,90,47,1822,12415,92,,,,259.0,6.8,Ryan Lindley,2012.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cardinals', 'Chargers', 'Colts']",0,0.0,both
Jake Browning,Washington,150.6,3.0,2015.0,2018.0,958,1483,64.6,12296,94,,1754,12540,110,8.3,8.5,,232.0,7.1,Jake Browning,2011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Bengals', 'Vikings']",0,0.0,both
Ty Detmer,Brigham Young,162.7,3.0,1988.0,1991.0,958,1530,62.6,15031,121,65,1795,14665,135,9.8,9.5,15.7,313.1,8.2,Ty Detmer,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Clayton Tune,Houston,148.5,4.0,2018.0,2022.0,956,1498,63.8,11996,104,41,1910,13247,119,,8.2,,255.2,6.9,Clayton Tune,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Cardinals'],0,0.0,both
Jayden Daniels,LSU,158.4,4.0,2019.0,2023.0,953,1438,66.3,12749,89,,2055,16056,124,8.9,9.5,,231.8,7.8,Jayden Daniels,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Commanders'],0,0.0,both
Shane Buechele,SMU,,4.0,2016.0,2020.0,952,1508,63.1,11660,87,,1799,12128,95,,,,253.5,6.7,Shane Buechele,2021.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Chiefs', 'Bills']",0,0.0,both
Drew Brees,Purdue,,3.0,1997.0,2000.0,942,1525,61.8,10909,81,41,1754,11815,97,,,,266.1,6.7,Drew Brees,2001.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Saints', 'Chargers']","['San Diego Chargers 2001-2005', 'New Orleans Saints 2006-2020']",0.0,both
Ryan Finley,North Carolina State,,4.0,2014.0,2018.0,939,1462,64.2,11147,,,1676,11529,,,,,237.2,6.9,Ryan Finley,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Bengals'],0,0.0,both
Byron Leftwich,Marshall,150.9,4.0,1998.0,2002.0,939,1442,65.1,11903,89,,1632,12084,96,8.3,8.6,,,7.4,Byron Leftwich,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,[],"['Jacksonville Jaguars 2003-2006', 'Atlanta Falcons 2007', 'Pittsburgh Steelers 2008-2012', 'Tampa Bay Buccaneers 2009']",0.0,both
Nick Foles,Arizona,,4.0,2007.0,2011.0,938,1404,66.8,10068,67,,1510,9778,,,,,279.7,,Nick Foles,2012.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Jaguars', 'Bears', 'Eagles', 'Rams', 'Colts', 'Chiefs']","['Philadelphia Eagles 2012-2018', 'St. Louis Rams 2015', 'Kansas City Chiefs 2016', 'Jacksonville Jaguars 2019', 'Chicago Bears 2020-2021', 'Indianapolis Colts 2022']",0.0,both
Austin Davis,Southern Mississippi,,3.0,2008.0,2011.0,933,1527,,10892,83,,1987,12267,109,,,,231.7,,Austin Davis,2012.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Browns', 'Broncos', 'Rams', 'Seahawks', 'Titans', 'Dolphins']",0,0.0,both
Brady Quinn,Notre Dame,,3.0,2003.0,2006.0,929,1602,,11762,95,,1856,11944,101,,,,240.0,,Brady Quinn,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['Rams', 'Jets', 'Seahawks']",0,0.0,both
Nick Mullens,Southern Mississippi,,3.0,2013.0,2016.0,928,1546,,11994,87,46,1729,11784,96,,,,272.6,6.8,Nick Mullens,2017.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Vikings', '49ers', 'Raiders', 'Browns', 'Eagles']",0,0.0,both
Sam Ehlinger,Texas,145.0,3.0,2017.0,2020.0,923,1476,62.5,11436,94,,2030,13343,127,,8.2,,248.6,,Sam Ehlinger,2021.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Colts'],0,0.0,both
Aaron Murray,Georgia,158.6,3.0,2010.0,2013.0,921,1478,62.3,13166,121,41,1764,13562,137,8.9,9.3,14.3,253.2,7.7,Aaron Murray,2014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Chiefs', 'Eagles', 'Cardinals']",0,0.0,both
Dan Orlovsky,Connecticut,,3.0,2001.0,2004.0,916,1567,,10706,84,51,1710,10421,90,,,,232.7,,Dan Orlovsky,2005.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Lions', 'Rams']",0,0.0,both
Mason Rudolph,Oklahoma State,159.7,3.0,2014.0,2017.0,915,1447,63.2,13618,92,,1672,13646,109,9.4,9.9,14.9,324.2,8.2,Mason Rudolph,2018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Steelers', 'Titans']",0,0.0,both
Adam Weber,Minnesota,,3.0,2007.0,2010.0,909,1594,,10917,72,51,1992,11790,82,,,,,,Adam Weber,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Broncos', 'Buccaneers']",0,0.0,both
Garrett Gilbert,SMU,,4.0,2009.0,2013.0,908,1548,,9761,,45,1843,10774,,,,,,,Garrett Gilbert,2014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Browns', 'Cowboys', 'Patriots', 'Panthers', 'Commanders', 'Rams', 'Raiders', 'Lions']",0,0.0,both
