player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay,player_nfl,draft_yr,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ,team_names,teams,hof_yr,_merge
Robert Griffin III,Baylor,158.9,3.0,2008.0,2011.0,800,,67.1,10366,78,,1720,12620,111,8.7,9.4,,252.8,7.3,Robert Griffin III,2012.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"['Commanders', 'Browns', 'Ravens']","['Minnesota Vikings 1994-2001', 'Cleveland Browns 2002-2004', 'Arizona Cardinals 2005-2006']",0.0,both
Patrick Ramsey,Tulane,,3.0,1998.0,2001.0,798,1355,,9205,72,51,1507,,,,,,263.0,,Patrick Ramsey,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Tim Couch,Kentucky,,2.0,1996.0,1998.0,795,,67.1,,74,,,,,,,,290.9,,Tim Couch,1999.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"['Browns', 'Packers']",0,0.0,both
T.J. Yates,North Carolina,,3.0,2007.0,2010.0,795,1277,62.3,9377,,46,1497,,,,,,,,T.J. Yates,2011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Texans', 'Falcons', 'Dolphins', 'Bills']",0,0.0,both
Ryan Nassib,Syracuse,,3.0,2009.0,2012.0,791,1312,,9190,70,,1554,,,,,,,,Ryan Nassib,2013.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Giants', 'Jaguars', 'Saints']",0,0.0,both
Dominique Davis,East Carolina,,3.0,2008.0,2011.0,790,1241,63.7,,68,,,,84,,,,255.9,,Dominique Davis,1962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Colts'],0,0.0,both
Adrian Martinez,Kansas State,,4.0,2018.0,2022.0,788,1239,63.6,9752,,,1858,12680,96,,,,,6.8,Adrian Martinez,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Lions'],0,0.0,both
Eric Dungey,Syracuse,,3.0,2015.0,2018.0,786,1279,61.5,9340,,,1822,11333,93,,,,239.5,,Eric Dungey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Browns', 'Giants']",0,0.0,both
Teddy Bridgewater,Louisville,157.2,2.0,2011.0,2013.0,781,,68.4,9817,72,,,9987,,8.6,8.9,,251.7,7.3,Teddy Bridgewater,2014.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,"['Panthers', 'Saints', 'Vikings', 'Dolphins', 'Broncos', 'Lions', 'Jets']","['Minnesota Vikings 2014-2017', 'New Orleans Saints 2018-2019', 'Carolina Panthers 2020', 'Denver Broncos 2021', 'Miami Dolphins 2022', 'Detroit Lions 2023']",0.0,both
Nathan Enderle,Idaho,,3.0,2007.0,2010.0,779,1427,,10084,74,60,1655,9735,,,,,,,Nathan Enderle,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Bears'],0,0.0,both
Marcus Mariota,Oregon,171.8,2.0,2012.0,2014.0,779,,66.8,10796,105,,1504,13033,136,9.3,10.5,13.9,263.3,8.7,Marcus Mariota,2010.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Titans', 'Raiders', 'Falcons', 'Eagles', 'Commanders']","['Tennessee Titans 2010-2011', 'Chicago Bears 2014-2015', 'Tennessee Titans 2016']",0.0,both
Devin Leary,Kentucky,,4.0,2019.0,2023.0,777,1315,,9553,87,,,,93,,,,,,Devin Leary,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Ravens'],0,0.0,both
Drew Plitt,Ball State,,4.0,2017.0,2021.0,777,1246,62.4,,68,,1568,,82,,,,,,Drew Plitt,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Bengals'],0,0.0,both
John Elway,Stanford,,3.0,1979.0,1982.0,774,1246,62.1,9349,77,,1505,,82,,,,,,John Elway,1983.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,['Broncos'],"['Denver Broncos 1983-1996', 'Denver Broncos 1997-1998']",2004.0,both
J.T. Barrett,Ohio State,152.3,3.0,2014.0,2017.0,769,1211,63.5,9434,104,,1867,12697,147,,8.4,,,6.8,J.T. Barrett,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Saints', 'Steelers']",0,0.0,both
Derek Anderson,Oregon State,,3.0,2001.0,2004.0,768,1515,,11249,79,57,1697,10716,87,,,14.6,229.6,,Derek Anderson,2005.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"['Browns', 'Panthers', 'Cardinals', 'Bills', 'Ravens']","['Cleveland Browns 2006-2009', 'Arizona Cardinals 2010', 'Carolina Panthers 2011-2017', 'Buffalo Bills 2018']",0.0,both
Rusty Smith,Florida Atlantic,,3.0,2006.0,2009.0,768,1361,,10112,76,,,9777,81,,,,,6.6,Rusty Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Titans'],0,0.0,both
Brandon Weeden,Oklahoma State,157.6,3.0,2008.0,2011.0,767,,69.5,9260,75,,,,,8.4,8.7,,308.7,8.0,Brandon Weeden,2012.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Browns', 'Texans', 'Cowboys', 'Titans']",0,0.0,both
Bruce Gradkowski,Toledo,157.4,3.0,2002.0,2005.0,766,,68.2,9225,85,,,10243,99,8.2,8.6,,,7.5,Bruce Gradkowski,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Steelers'],0,0.0,both
James Blackman,Arkansas State,,5.0,2017.0,2022.0,765,1246,61.4,9260,,,1501,,,,,,,,James Blackman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Dolphins'],0,0.0,both
Daniel Jones,Duke,,2.0,2016.0,2018.0,764,1275,,,,,1681,,,,,,,,Daniel Jones,1997.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,['Giants'],0,0.0,both
Gardner Minshew,Washington State,,2.0,2016.0,2018.0,761,,65.2,,,,,,,,,,275.5,,Gardner Minshew,2019.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Raiders', 'Colts', 'Eagles', 'Jaguars']","['Jacksonville Jaguars 2019-2020', 'Philadelphia Eagles 2021-2022', 'Indianapolis Colts 2023', 'Las Vegas Raiders 2024']",0.0,both
John Wolford,Wake Forest,,3.0,2014.0,2017.0,761,1273,,,,41,1720,9914,,,,,,,John Wolford,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Rams', 'Buccaneers']","['Los Angeles Rams 2020', 'Los Angeles Rams 2021-2022']",0.0,both
Logan Woodside,Toledo,162.9,4.0,2013.0,2017.0,759,,65.1,10514,93,,,10602,97,9.0,9.6,13.9,239.0,8.1,Logan Woodside,2018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Titans', 'Falcons', 'Bengals']",0,0.0,both
Trevor Lawrence,Clemson,164.3,2.0,2018.0,2020.0,758,,66.6,10098,90,,,11041,108,8.9,9.8,,252.5,8.1,Trevor Lawrence,2021.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,['Jaguars'],['Jacksonville Jaguars 2021-2024'],0.0,both
Paxton Lynch,Memphis,,2.0,2013.0,2015.0,758,1205,62.9,,,,,,,,,,233.2,,Paxton Lynch,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Broncos', 'Steelers']",0,0.0,both
Keith Price,Washington,,3.0,2010.0,2013.0,757,,64.0,,75,,,,85,,,,,,Keith Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Seahawks'],0,0.0,both
Brett Smith,Wyoming,,3.0,2011.0,2014.0,751,1212,62.0,,76,,1590,10365,97,,,,,,Brett Smith,1985.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,['Buccaneers'],"['Buffalo Bills 1985-1999', 'Washington Redskins 2000-2003']",0.0,both
Kyle Orton,Purdue,,3.0,2001.0,2004.0,748,1262,,,,,1524,,,,,,,,Kyle Orton,2005.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,"['Broncos', 'Cowboys', 'Bills', 'Bears', 'Chiefs']",0,0.0,both
Brogan Roback,Eastern Michigan,,4.0,2013.0,2017.0,745,1284,,,,,,,,,,,,,Brogan Roback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Browns'],0,0.0,both
Jake Haener,Fresno State,156.2,4.0,2018.0,2022.0,740,,68.2,,68,,,,,8.4,8.9,,276.4,7.2,Jake Haener,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Saints'],0,0.0,both
Colin Kaepernick,Nevada,,3.0,2007.0,2010.0,740,1271,,10098,82,,1871,14210,142,,8.4,13.6,,7.6,Colin Kaepernick,2011.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,['49ers'],0,0.0,both
Max Duggan,TCU,,3.0,2019.0,2022.0,739,1225,,9618,73,,1713,11474,101,,8.0,,,6.7,Max Duggan,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Chargers'],0,0.0,both
Jack Trudeau,Illinois,,4.0,1981.0,1985.0,736,,63.9,,,,,,,,,,,,Jack Trudeau,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,[],0,0.0,both
Caleb Williams,USC,169.3,2.0,2021.0,2023.0,735,,66.9,10082,93,,,11048,120,9.2,10.3,13.7,272.5,8.0,Caleb Williams,1990.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Bears'],0,0.0,both
Dak Prescott,Mississippi State,146.0,3.0,2012.0,2015.0,734,,62.8,9376,70,,1705,11897,114,,8.3,,,7.0,Dak Prescott,1977.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,['Cowboys'],0,0.0,both
G.J. Kinne,Tulsa,144.8,2.0,2009.0,2011.0,732,,61.3,9472,81,,1629,10831,96,,8.1,,249.3,6.6,G.J. Kinne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Giants'],0,0.0,both
Michael Pratt,Tulane,148.0,3.0,2020.0,2023.0,729,,,9602,90,,1650,10747,119,,8.5,,,,Michael Pratt,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Packers'],0,0.0,both
Ian Book,Notre Dame,147.0,4.0,2016.0,2020.0,728,,63.8,,72,,1501,10466,89,,8.3,,,7.0,Ian Book,2021.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Saints', 'Eagles', 'Patriots']",0,0.0,both
Kyle Boller,California,,0.0,0.0,0.0,,1301,,,,48,1576,,,,,,,,Kyle Boller,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,[],0,0.0,both
Doug Flutie,Boston College,,0.0,0.0,0.0,,1271,,10579,67,54,1558,11318,,8.3,,15.6,240.4,7.3,Doug Flutie,1985.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,[],"['Chicago Bears 1986-1987', 'New England Patriots 1987-1989', 'Buffalo Bills 1998-2000', 'San Diego Chargers 2001-2004', 'New England Patriots 2005']",0.0,both
Kyle Shurmur,Vanderbilt,,0.0,0.0,0.0,,1264,,,,,,,,,,,,,Kyle Shurmur,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Chiefs', 'Commanders', 'Bengals']",0,0.0,both
David Klingler,Houston,,0.0,0.0,0.0,,1261,,9430,91,,,,93,,,,294.7,,David Klingler,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Brian Lewerke,Michigan State,,0.0,0.0,0.0,,1249,,,,,1595,,,,,,,,Brian Lewerke,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Giants', 'Patriots']",0,0.0,both
Logan Thomas,Virginia Tech,,0.0,0.0,0.0,,1248,,,,,1743,10362,,,,,,,Logan Thomas,2014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cardinals', 'Dolphins', '49ers', 'Lions', 'Giants']",0,0.0,both
Jake Delhomme,Louisiana,,0.0,0.0,0.0,,1246,,9216,,57,,,,,,14.1,,,Jake Delhomme,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,[],"['New Orleans Saints 1999', 'New Orleans Saints 2002', 'Carolina Panthers 2003-2009', 'Cleveland Browns 2010', 'Houston Texans 2011']",0.0,both
Jay Cutler,Vanderbilt,,0.0,0.0,0.0,,1242,,,,,1695,9953,,,,,,,Jay Cutler,2006.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Bears', 'Broncos', 'Dolphins']","['Denver Broncos 2006-2008', 'Chicago Bears 2009-2016', 'Miami Dolphins 2017']",0.0,both
Chase Rettig,Boston College,,0.0,0.0,0.0,,1242,,,,,,,,,,,,,Chase Rettig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Packers'],0,0.0,both
Stoney Case,New Mexico,,0.0,0.0,0.0,,1237,,9460,67,,1673,10651,98,,,14.0,,,Stoney Case,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Christian Hackenberg,Penn State,,0.0,0.0,0.0,,1235,,,,,,,,,,,,,Christian Hackenberg,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Jets', 'Bengals']",0,0.0,both
James Morgan,Florida International,,0.0,0.0,0.0,,1221,,,,,,,,,,,,,James Morgan,2020.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Jets', 'Panthers', 'Colts', 'Cardinals', 'Steelers']",0,0.0,both
Trace McSorley,Penn State,144.5,0.0,0.0,0.0,,1215,,9899,77,,1688,11596,107,8.1,8.5,13.7,,6.9,Trace McSorley,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Ravens', 'Cardinals', 'Steelers', 'Bears']",0,0.0,both
Joe Burrow,LSU,172.4,0.0,0.0,0.0,,,68.8,,78,,,9672,91,9.4,10.5,13.6,,8.0,Joe Burrow,1962.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,['Bengals'],0,0.0,both
David Fales,San Jose State,161.7,0.0,0.0,0.0,,,68.1,,,,,,,8.9,9.3,,335.3,8.0,David Fales,2014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Dolphins', 'Jets', 'Bears', 'Ravens']",0,0.0,both
Sam Bradford,Oklahoma,175.6,0.0,0.0,0.0,,,67.6,,88,,,,93,9.4,10.6,13.9,271.1,8.7,Sam Bradford,2010.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Rams', 'Vikings', 'Eagles', 'Cardinals']","['St. Louis Rams 2010-2013', 'Philadelphia Eagles 2015', 'Minnesota Vikings 2016-2017', 'Arizona Cardinals 2018']",0.0,both
Matt Corral,Ole Miss,159.2,0.0,0.0,0.0,,,67.3,,,,,,,9.1,9.2,,,7.7,Matt Corral,2022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Panthers'],0,0.0,both
Andrew Luck,Stanford,162.8,0.0,0.0,0.0,,,67.0,9430,82,,,10387,89,8.9,9.5,,248.2,8.5,Andrew Luck,2012.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,['Colts'],['Indianapolis Colts 2012-2018'],0.0,both
Matt Schaub,Virginia,,0.0,0.0,0.0,,,67.0,,,,,,,,,,,,Matt Schaub,2004.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Texans', 'Falcons', 'Raiders', 'Ravens']","['Atlanta Falcons 2004-2019', 'Houston Texans 2007-2013', 'Oakland Raiders 2014', 'Baltimore Ravens 2015', 'Atlanta Falcons 2020']",0.0,both
Hendon Hooker,Tennessee,172.2,0.0,0.0,0.0,,,66.9,,80,,,11053,105,9.5,10.6,14.2,,7.6,Hendon Hooker,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Lions'],0,0.0,both
E.J. Manuel,Florida State,150.4,0.0,0.0,0.0,,,66.9,,,,,,,8.6,8.3,,,7.2,E.J. Manuel,2013.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Bills', 'Raiders']",0,0.0,both
A.J. McCarron,Alabama,162.5,0.0,0.0,0.0,,,66.9,,77,,,,80,8.8,9.6,,,7.8,A.J. McCarron,2014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Texans', 'Bills', 'Bengals', 'Falcons', 'Raiders']",0,0.0,both
Bryn Renner,North Carolina,151.2,0.0,0.0,0.0,,,66.5,,,,,,,8.2,8.3,,234.9,7.0,Bryn Renner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Ravens', 'Broncos']",0,0.0,both
Tim Tebow,Florida,170.8,0.0,0.0,0.0,,,66.4,9285,88,,1687,12232,145,9.3,10.4,14.0,,7.3,Tim Tebow,2010.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Broncos', 'Jets']",0,0.0,both
Kevin Hogan,Stanford,154.6,0.0,0.0,0.0,,,65.9,9385,75,,,10634,91,8.5,8.7,,,7.5,Kevin Hogan,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Broncos', 'Browns', 'Texans', 'Titans', 'Chiefs', 'Bengals']",0,0.0,both
Bryce Young,Alabama,165.0,0.0,0.0,0.0,,,65.8,,80,,,,87,8.8,9.9,,238.7,7.8,Bryce Young,1994.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,['Panthers'],"['San Francisco 49ers 1994-1995', 'San Francisco 49ers 1996-2007']",0.0,both
Will Grier,West Virginia,165.1,0.0,0.0,0.0,,,65.8,,81,,,,88,9.0,9.7,13.8,305.6,8.0,Will Grier,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Panthers', 'Cowboys', 'Patriots', 'Chargers', 'Bengals']",0,0.0,both
Daunte Culpepper,UCF,153.1,0.0,0.0,0.0,,,65.7,9341,72,,,10344,91,8.5,8.5,,283.1,7.0,Daunte Culpepper,1999.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,[],"['Minnesota Vikings 1999', 'Minnesota Vikings 2000-2005', 'Miami Dolphins 2006', 'Oakland Raiders 2007', 'Detroit Lions 2008-2009']",0.0,both
Blake Bortles,UCF,153.8,0.0,0.0,0.0,,,65.7,,,,,,,8.5,8.8,,,7.5,Blake Bortles,2014.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Jaguars', 'Rams', 'Broncos', 'Saints', 'Packers']",0,0.0,both
Matt Johnson,Bowling Green State,160.4,0.0,0.0,0.0,,,65.4,,73,,,,82,8.8,9.6,,239.1,7.4,Matt Johnson,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Bengals'],0,0.0,both
Jalen Hurts,Oklahoma,162.7,0.0,0.0,0.0,,,65.2,9477,80,,1660,12751,124,9.1,9.7,13.9,,7.7,Jalen Hurts,2020.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,['Eagles'],"['Philadelphia Eagles 2020', 'Philadelphia Eagles 2021-2024']",0.0,both
Steve Young,Brigham Young,149.8,0.0,0.0,0.0,,,65.2,,,,,,,8.5,8.1,,,7.5,Steve Young,1985.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['49ers', 'Buccaneers']","['Tampa Bay Buccaneers 1985-1986', 'San Francisco 49ers 1987-1995', 'San Francisco 49ers 1996-1999']",2005.0,both
Stetson Bennett,Georgia,160.9,0.0,0.0,0.0,,,65.1,,,,,,81,9.1,9.5,14.0,,8.4,Stetson Bennett,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Rams'],0,0.0,both
Drake Maye,North Carolina,154.1,0.0,0.0,0.0,,,64.9,,,,,,,8.4,9.0,,267.3,7.4,Drake Maye,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Patriots'],0,0.0,both
Rob Johnson,USC,144.4,0.0,0.0,0.0,,,64.7,,,,,,,8.0,,,,,Rob Johnson,1995.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"['Bills', 'Commanders', 'Jaguars', 'Buccaneers', 'Raiders']","['Jacksonville Jaguars 1995-1997', 'Buffalo Bills 1998-2001', 'Tampa Bay Buccaneers 2002', 'Washington Redskins 2003', 'Oakland Raiders 2003']",0.0,both
Kirk Cousins,Michigan State,146.1,0.0,0.0,0.0,,,64.1,9131,,,,,,8.1,8.1,,,7.3,Kirk Cousins,2012.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"['Vikings', 'Falcons', 'Commanders']","['Washington Redskins 2012-2013', 'Washington Redskins 2014-2017', 'Minnesota Vikings 2018-2023', 'Atlanta Falcons 2024']",0.0,both
Sam Howell,North Carolina,164.2,0.0,0.0,0.0,,,63.8,10283,92,,,11292,111,9.2,9.9,14.4,277.9,7.6,Sam Howell,2022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Commanders'],0,0.0,both
Jake Fromm,Georgia,156.1,0.0,0.0,0.0,,,63.2,,78,,,,81,8.4,9.1,,,7.4,Jake Fromm,2020.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Bills', 'Commanders', 'Giants']",0,0.0,both
Manny Wilkins,Arizona State,,0.0,0.0,0.0,,,63.2,,,,1499,9659,,,,,,,Manny Wilkins,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Packers'],"['Tampa Bay Buccaneers 2019-2020', 'Baltimore Ravens 2021']",0.0,both
Austin Reed,Western Kentucky,144.2,0.0,0.0,0.0,,,63.2,,71,,,,84,,,,311.0,7.0,Austin Reed,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Bears'],0,0.0,both
Carter Bradley,South Alabama,,0.0,0.0,0.0,,,62.9,,,,,,,,,,,6.7,Carter Bradley,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Raiders'],0,0.0,both
Malik Cunningham,Louisville,151.7,0.0,0.0,0.0,,,62.6,9664,70,,1724,12843,120,8.7,8.8,14.0,,7.4,Malik Cunningham,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['Patriots', 'Ravens']",0,0.0,both
Jimmy Clausen,Notre Dame,,0.0,0.0,0.0,,,62.6,,,,,,,,,,232.8,,Jimmy Clausen,2010.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Bears', 'Ravens']",0,0.0,both
Tyler Wilson,Arkansas,,0.0,0.0,0.0,,,62.6,,,,,,,8.2,8.1,,,7.3,Tyler Wilson,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Raiders', 'Titans']",0,0.0,both
Skylar Thompson,Kansas State,,0.0,0.0,0.0,,,62.4,,,,,,,8.1,8.2,,,6.6,Skylar Thompson,2022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Dolphins'],0,0.0,both
Chase Garbers,California,,0.0,0.0,0.0,,,62.4,,,,,,,,,,,,Chase Garbers,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Raiders'],0,0.0,both
Tanner Morgan,Minnesota,151.0,0.0,0.0,0.0,,,62.2,9454,,,,,,8.9,8.8,14.3,,7.4,Tanner Morgan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Steelers', 'Vikings']",0,0.0,both
James Franklin,Missouri,,0.0,0.0,0.0,,,62.1,,,,,,,,,,,,James Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Lions'],0,0.0,both
Jordan Travis,Florida State,150.6,0.0,0.0,0.0,,,62.0,,,,,10665,98,8.5,8.9,13.7,,7.4,Jordan Travis,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Jets'],0,0.0,both
Nick Stevens,Colorado State,148.7,0.0,0.0,0.0,,,61.9,,70,,,,,8.3,8.5,,,7.6,Nick Stevens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Broncos'],0,0.0,both
Chandler Harnish,Northern Illinois,145.1,0.0,0.0,0.0,,,61.9,,68,,1648,11927,92,8.1,8.2,,,7.2,Chandler Harnish,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Colts', 'Vikings']",0,0.0,both
Garrett Grayson,Colorado State,145.3,0.0,0.0,0.0,,,61.8,9190,,,,,,8.3,8.3,,248.4,7.1,Garrett Grayson,2015.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Saints', 'Falcons', 'Broncos']",0,0.0,both
Christian Ponder,Florida State,,0.0,0.0,0.0,,,61.8,,,,,,,,,,,,Christian Ponder,2011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Vikings', 'Raiders', '49ers', 'Broncos']",0,0.0,both
Jake Rudock,Michigan,,0.0,0.0,0.0,,,61.7,,,,,,,,,,,,Jake Rudock,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Lions', 'Dolphins']",0,0.0,both
Jim McMahon,Brigham Young,156.9,0.0,0.0,0.0,,,61.6,9536,84,,,9723,94,9.0,9.1,14.6,,7.3,Jim McMahon,1982.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,[],"['Chicago Bears 1982-1988', 'San Diego Chargers 1989', 'Philadelphia Eagles 1990-1992', 'Minnesota Vikings 1993', 'Arizona Cardinals 1994', 'Green Bay Packers 1995-1996']",0.0,both
Joshua Dobbs,Tennessee,,0.0,0.0,0.0,,,61.5,,,,,,87,,,,,,Joshua Dobbs,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Steelers', 'Browns', 'Vikings', 'Cardinals', 'Jaguars', '49ers', 'Titans', 'Lions']",0,0.0,both
Cole McDonald,Hawaii,146.8,0.0,0.0,0.0,,,61.4,,70,,,,82,,8.3,,243.4,7.1,Cole McDonald,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Titans'],0,0.0,both
Jordan Love,Utah State,,0.0,0.0,0.0,,,61.2,,,,,,,,,,,7.0,Jordan Love,1967.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Packers'],0,0.0,both
Danny Wuerffel,Florida,163.6,0.0,0.0,0.0,,,,10875,114,42,,10500,122,9.3,9.6,15.4,236.4,7.7,Danny Wuerffel,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Brad Kaaya,Miami (FL),146.2,0.0,0.0,0.0,,,,9972,69,,,,,8.4,8.6,13.8,262.4,7.5,Brad Kaaya,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Colts', 'Lions', 'Panthers']",0,0.0,both
Chris Weinke,Florida State,151.1,0.0,0.0,0.0,,,,9839,79,,,,81,8.9,9.0,15.1,273.3,7.8,Chris Weinke,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
Ken Dorsey,Miami (FL),147.4,0.0,0.0,0.0,,,,9565,86,,,,88,8.3,8.7,14.3,233.3,7.8,Ken Dorsey,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],0,0.0,both
