player,team,draft,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ
Glenn Dobbs,0,0,0,0,0,0,0,0,0,0
Greg McElroy,New York Jets,2011,0,0,0,0,0,0,0,1
Hendon Hooker,Detroit Lions,2023,0,0,0,0,0,1,0,0
Holton Ahlers,Undrafted,0,0,0,0,0,0,0,0,0
Hugh Millen,Los Angeles Rams,1986,0,0,0,0,0,0,0,1
Ian Book,New Orleans Saints,2021,0,0,0,0,0,1,0,1
Irv Comp,0,0,0,0,0,0,0,0,0,0
J'Mar Smith,0,0,0,0,0,0,0,0,0,0
J.J. McCarthy,0,2024,0,0,0,0,0,1,0,0
J.P. Losman,Buffalo Bills,2004,0,0,0,0,0,0,0,1
J.T. Barrett,Undrafted,2018,0,0,0,0,0,0,0,0
JaMarcus Russell,Oakland Raiders,2007,0,0,0,0,0,1,0,1
Jack Coan,Undrafted,0,0,0,0,0,0,0,0,0
Jack Concannon,Boston Patriots,1964,0,0,0,0,0,0,0,1
Jack Thompson,Cincinnati Bengals,1979,0,0,0,0,0,0,0,1
Jack Trudeau,Indianapolis Colts,1986,0,0,0,0,0,0,1,1
Jacky Lee,0,0,0,0,0,0,0,0,0,0
Jacob Dolegala,Undrafted,2019,0,0,0,0,0,0,0,0
Jacoby Brissett,New England Patriots,2016,0,0,0,0,0,1,0,1
Jake Browning,Kansas City Chiefs,2011,0,0,0,0,0,1,0,1
Jake Coker,Undrafted,0,0,0,0,0,0,0,0,0
Jake Fromm,Buffalo Bills,2020,0,0,0,0,0,1,0,1
Jake Haener,New Orleans Saints,2023,0,0,0,0,0,1,0,1
Jake Heaps,0,0,0,0,0,0,0,0,0,0
Jake Luton,Jacksonville Jaguars,2020,0,0,0,0,0,1,0,1
Jake Rudock,Detroit Lions,2016,0,0,0,0,0,1,0,1
Jake Waters,Undrafted,0,0,0,0,0,0,0,0,0
Jalen Morton,Undrafted,0,0,0,0,0,0,0,0,0
Jameill Showers,0,2015,0,0,0,0,0,0,0,0
James Blackman,0,0,0,0,0,0,0,0,0,0
James Franklin,Undrafted,0,0,0,0,0,0,0,0,1
James Harris,Green Bay Packers,1990,0,0,0,0,0,0,1,1
James Morgan,New York Jets,2020,0,0,0,0,0,1,0,0
Jarrett Guarantano,Undrafted,2022,0,0,0,0,0,0,0,0
Jason Bean,Undrafted,2024,0,0,0,0,0,0,0,0
Jayden Daniels,Undrafted,2024,0,0,0,0,0,1,0,0
Jeff Driskel,San Francisco 49ers,2016,0,0,0,0,0,1,0,1
Jeff Kemp,Undrafted,0,0,0,0,0,0,0,0,1
Jeff Mathews,Houston Texans,2005,0,0,0,1,0,0,0,1
Jeff Rutledge,Los Angeles Rams,1979,0,0,0,0,0,0,0,1
Jeff Tuel,Undrafted,0,0,0,0,0,0,0,0,1
Jerod Evans,Phoenix Cardinals,1991,0,0,0,0,0,0,0,1
Jerrod Johnson,Cincinnati Bengals,2003,0,0,0,0,0,0,0,1
Jerry Lovelocke,0,0,0,0,0,0,0,0,0,0
Jim Finks,Pittsburgh Steelers,1949,0,1,0,0,0,0,1,0
Jim Hardy,Washington Redskins,1945,0,0,0,0,0,0,0,0
Jim Miller,Pittsburgh Steelers,1994,0,0,0,0,0,0,0,1
Jim Ninowski,Cleveland Browns,1958,0,0,0,0,0,0,0,1
Jimmy Clausen,Carolina Panthers,2010,0,0,0,0,0,1,0,1
Joe Callahan,Undrafted,2016,0,0,0,0,1,0,0,1
Joe Kapp,Washington Redskins,1959,0,0,0,0,0,0,0,1
Joe Milton III,New England Patriots,2024,0,0,0,0,0,0,0,0
Joe Pisarcik,Undrafted,0,0,0,0,0,0,0,0,1
Joe Webb,Minnesota Vikings,2010,0,0,0,0,0,1,0,1
Joel Stave,0,2017,0,0,0,0,0,0,0,0
John Friesz,San Diego Chargers,1990,0,0,0,0,0,0,1,1
John Paddock,0,0,0,0,0,0,0,0,0,0
John Rhys Plumlee,0,2024,0,0,0,0,0,0,0,0
John Skelton,Arizona Cardinals,2010,0,0,0,0,0,0,0,1
John Wolford,Undrafted,2019,0,0,0,0,0,1,0,1
Johnny Green,Pittsburgh Steelers,1959,0,0,0,0,0,0,0,1
Johnny Lujack,Chicago Bears,1946,0,0,0,1,1,0,0,0
Johnny Manziel,Cleveland Browns,2014,0,0,0,0,0,1,0,1
Jordan Love,Washington Redskins,1967,0,0,0,0,0,1,0,1
Jordan Rodgers,San Diego Chargers,1973,0,0,0,0,0,0,0,1
Jordan Ta'amu,Draft Finder,2020,0,0,0,0,0,0,0,0
Jordan Travis,New York Jets,2024,0,0,0,0,0,0,0,0
Josh Johnson,Phoenix Cardinals,1990,0,0,0,0,0,1,0,1
Josh Love,Washington Redskins,1967,0,0,0,0,0,0,0,1
Josh Rosen,Miami Dolphins,1980,0,0,0,0,0,1,0,1
Josh Woodrum,Jacksonville Jaguars,2016,0,0,0,0,0,0,0,1
Joshua Dobbs,Pittsburgh Steelers,2017,0,0,0,0,0,1,0,1
Kedon Slovis,Undrafted,2024,0,0,0,0,0,0,0,0
Keith Price,Undrafted,0,0,0,0,0,0,0,0,0
Keith Wenning,Baltimore Ravens,2014,0,0,0,0,0,0,0,0
Kellen Clemens,New York Jets,2006,0,0,0,0,0,1,0,1
Kellen Mond,Minnesota Vikings,2021,0,0,0,0,0,1,0,1
Kellen Moore,Detroit Lions,2008,0,0,0,0,0,1,0,1
Kelly Holcomb,Undrafted,0,0,0,0,0,0,0,0,1
Ken Dorsey,San Francisco 49ers,2003,0,0,0,0,0,0,0,1
Kenji Bahar,Undrafted,0,0,0,0,0,0,0,0,0
Kenny Pickett,Pittsburgh Steelers,2022,0,0,0,0,0,1,0,1
Kent Graham,New York Giants,1992,0,0,0,0,0,0,1,1
Kevin Davidson,Green Bay Packers,1986,0,0,0,0,0,0,0,1
Kevin Hogan,Kansas City Chiefs,2016,0,0,0,0,0,1,0,1
Kevin Kolb,Philadelphia Eagles,2007,0,0,0,0,0,1,0,1
King Hill,Chicago Cardinals,1958,0,0,0,0,0,0,0,1
Kory Faulkner,0,0,0,0,0,0,0,0,0,0
Kurt Benkert,Draft Finder,2018,0,0,0,0,0,1,0,0
Kyle Boller,Baltimore Ravens,2003,0,0,0,0,0,0,1,1
Kyle Lauletta,New York Giants,2018,0,0,0,0,0,1,0,1
Kyle Shurmur,Draft Finder,2019,0,0,0,0,0,0,0,0
Kyle Sloter,Undrafted,2017,0,0,0,0,0,1,0,0
Kyle Trask,Tampa Bay Buccaneers,2021,0,0,0,0,0,1,0,1
Lamar McHan,Chicago Cardinals,1954,0,0,0,0,0,0,1,1
Lance Ball,Undrafted,0,0,0,0,0,0,0,0,1
Landry Jones,New York Jets,1980,0,0,0,0,0,1,0,1
Levi Lewis,Undrafted,0,0,0,0,0,0,0,0,1
Logan Kilgore,0,0,0,0,0,0,0,0,0,0
Logan Thomas,Arizona Cardinals,2014,0,0,0,0,0,1,0,1
Logan Woodside,Cincinnati Bengals,2018,0,0,0,0,0,1,0,1
Luis Perez,0,0,0,0,0,0,0,0,0,0
Luke Falk,Tennessee Titans,2018,0,0,0,0,0,0,0,1
Luke McCown,Cleveland Browns,2004,0,0,0,0,0,1,0,1
M.C. Reynolds,Undrafted,0,0,0,0,0,0,0,0,1
Malik Cunningham,Undrafted,2023,0,0,0,0,0,0,0,1
Malik Willis,Undrafted,2022,0,0,0,0,0,1,0,1
Manny Wilkins,Undrafted,2019,0,0,0,0,0,0,0,1
Mark Malone,Pittsburgh Steelers,1980,0,0,0,0,0,0,1,1
Marty Domres,San Diego Chargers,1969,0,0,0,0,0,0,0,1
Mason Rudolph,Pittsburgh Steelers,2018,0,0,0,0,0,1,0,1
Matt Blanchard,Undrafted,0,0,0,0,0,0,0,0,0
Matt Corral,Carolina Panthers,2022,0,0,0,0,0,1,0,0
Matt Johnson,Pittsburgh Steelers,1999,0,0,0,0,0,0,0,1
Matt Leinart,Arizona Cardinals,2006,0,0,0,0,0,1,0,1
Matt McGloin,0,2013,0,0,0,0,0,1,0,0
Matt Simms,Undrafted,2019,0,0,0,0,0,0,0,1
Max Duggan,Los Angeles Chargers,2023,0,0,0,0,0,0,0,0
Max McCaffrey,New York Giants,2012,0,0,0,0,0,0,0,1
Max Wittek,0,0,0,0,0,0,0,0,0,0
McLeod Bethel-Thompson,Undrafted,0,0,0,0,0,0,0,0,0
Michael Penix Jr.,Atlanta Falcons,2024,0,0,0,0,0,1,0,0
Michael Pratt,Green Bay Packers,2024,0,0,0,0,0,0,0,0
Mike Bercovici,0,0,0,0,0,0,0,0,0,0
Mike Glennon,Tampa Bay Buccaneers,2013,0,0,0,0,0,1,0,1
Mike Kafka,Philadelphia Eagles,2010,0,0,0,0,0,0,0,1
Mike Livingston,Kansas City Chiefs,1968,0,0,0,0,0,0,1,1
Mike McMahon,Detroit Lions,2001,0,0,0,0,0,0,0,1
Mike Pagel,Baltimore Colts,1982,0,0,0,0,0,0,1,1
Mike Taliaferro,New York Giants,1963,0,0,0,0,0,0,0,1
Mike White,Undrafted,2018,0,0,0,0,0,1,0,0
Nate Stanley,Minnesota Vikings,2020,0,0,0,0,0,0,0,0
Nate Sudfeld,Washington Redskins,2016,0,0,0,0,0,1,0,1
Nathan Enderle,Chicago Bears,2011,0,0,0,0,0,0,0,0
Nathan Peterman,Buffalo Bills,2017,0,0,0,0,0,1,0,1
Nathan Rourke,Undrafted,2023,0,0,0,0,0,0,0,0
Nic Shimonek,0,0,0,0,0,0,0,0,0,0
Nick Fitzgerald,Draft Finder,0,0,0,0,0,0,0,0,0
Nick Schuessler,0,0,0,0,0,0,0,0,0,0
Nick Stevens,Undrafted,0,0,0,0,0,0,0,0,0
Nolan Henderson,0,0,0,0,0,0,0,0,0,0
Parker Hall,0,0,0,0,0,0,0,0,0,0
Pat Devlin,Undrafted,2015,0,0,0,0,0,0,0,0
Patrick Ramsey,Washington Redskins,2002,0,0,0,0,0,0,0,1
Paul Christman,0,0,0,0,0,0,0,0,0,0
Paul McDonald,Cleveland Browns,1980,0,0,0,0,0,0,0,1
Paxton Lynch,Denver Broncos,2016,0,0,0,0,0,1,0,1
Peewee Jarrett,0,0,0,0,0,0,0,0,0,0
Pete Beathard,Kansas City Chiefs,1964,0,0,0,0,0,0,1,1
Pete Liske,New York Jets,1963,0,0,0,0,0,0,0,1
Peter Pujals,0,0,0,0,0,0,0,0,0,0
Phillip Walker,Undrafted,2017,0,0,0,0,0,1,0,1
Quincy Carter,Dallas Cowboys,2001,0,0,0,0,0,0,0,1
Ralph Guglielmi,Washington Redskins,1955,0,0,0,0,0,0,0,1
Randy Johnson,Atlanta Falcons,1966,0,0,0,0,0,0,1,1
Randy Wright,Green Bay Packers,1984,0,0,0,0,0,0,0,1
Red Dunn,Undrafted,0,0,0,0,0,0,0,0,0
Reid Sinnett,Undrafted,2020,0,0,0,0,0,1,0,0
Rex Grossman,Chicago Bears,2003,0,0,0,0,0,0,1,1
Rick Mirer,Seattle Seahawks,1993,0,0,0,0,0,0,1,1
Rick Norton,Miami Dolphins,1966,0,0,0,0,0,0,0,1
Ricky Stanzi,Kansas City Chiefs,2011,0,0,0,0,0,1,0,0
Riley Neal,0,0,0,0,0,0,0,0,0,0
Rocky Lombardi,0,0,0,0,0,0,0,0,0,0
Roy Zimmerman,0,0,0,0,0,0,0,0,0,0
Rusty Smith,San Diego Chargers,0,0,0,0,0,0,0,0,1
Ryan Finley,Cincinnati Bengals,2019,0,0,0,0,0,1,0,1
Ryan Griffin,Houston Texans,2013,0,0,0,0,0,1,0,1
Ryan Leaf,San Diego Chargers,1998,0,0,0,0,0,0,0,1
Ryan Lindley,Arizona Cardinals,2012,0,0,0,0,0,1,0,1
Ryan Mallett,New England Patriots,2011,0,0,0,0,0,1,0,1
Ryan Willis,Arizona Cardinals,2011,0,0,0,0,0,0,0,1
Sam Ehlinger,Indianapolis Colts,2021,0,0,0,0,0,1,0,1
Sam Hartman,Undrafted,2024,0,0,0,0,0,0,0,0
Sam Howell,Washington Commanders,2022,0,0,0,0,0,1,0,1
Scott Brunner,New York Giants,1980,0,0,0,0,0,0,0,1
Scott Hunter,Green Bay Packers,1971,0,0,0,0,0,0,0,1
Sean Clifford,Green Bay Packers,2023,0,0,0,0,0,1,0,1
Sean Mannion,St. Louis Rams,2015,0,0,0,0,0,1,0,1
Sean Renfree,Atlanta Falcons,2013,0,0,0,0,0,1,0,1
Sefo Liufau,Undrafted,0,0,0,0,0,0,0,0,0
Seneca Wallace,Seattle Seahawks,2003,0,0,0,0,0,0,0,1
Seth Lobato,Undrafted,0,0,0,0,0,0,0,0,0
Shane Buechele,Undrafted,2021,0,0,0,0,0,1,0,0
Shane Matthews,Undrafted,0,0,0,0,0,0,0,0,1
Shaun King,Tampa Bay Buccaneers,1999,0,0,0,0,0,0,0,1
Skylar Thompson,Miami Dolphins,2022,0,0,0,0,0,1,0,1
Skyler Howard,Undrafted,0,0,0,0,0,0,0,0,0
Spencer Rattler,New Orleans Saints,2024,0,0,0,0,0,0,0,0
Stephen Morris,Undrafted,2015,0,0,0,0,0,0,0,0
Stetson Bennett,Los Angeles Rams,2023,0,0,0,0,0,1,0,0
Steve Bono,Minnesota Vikings,1985,0,0,0,0,0,0,1,1
Steve Dils,Minnesota Vikings,1979,0,0,0,0,0,0,0,1
Steve Fuller,Kansas City Chiefs,1979,0,0,0,0,0,0,1,1
Steve Ramsey,New Orleans Saints,1970,0,0,0,0,1,0,0,1
Steve Spurrier,San Francisco 49ers,1967,0,0,0,0,0,0,0,1
Steve Tensi,San Diego Chargers,1965,0,0,0,0,0,0,0,1
Steve Walsh,Dallas Cowboys,0,0,0,0,0,0,0,1,1
Steven Montez,Draft Finder,2020,0,0,0,0,0,0,0,0
Stoney Case,Arizona Cardinals,1995,0,0,0,0,0,0,0,1
T.J. Yates,Houston Texans,2011,0,0,0,0,0,1,0,1
Tajh Boyd,New York Jets,2014,0,0,0,0,0,0,0,0
Tanner Lee,0,2018,0,0,0,0,0,0,0,0
Tanner McKee,Draft Finder,2023,0,0,0,0,0,0,0,0
Tanner Mordecai,Undrafted,2024,0,0,0,0,0,0,0,0
Tanner Morgan,Undrafted,0,0,0,0,0,0,0,0,0
Taryn Christion,Undrafted,0,0,0,0,0,0,0,0,0
Taysom Hill,Undrafted,2017,0,0,0,0,0,1,0,1
Thaddeus Lewis,New York Giants,1994,0,0,0,0,0,0,0,1
Tim Boyle,Undrafted,2018,0,0,0,0,0,1,0,1
Tim DeMorat,0,0,0,0,0,0,0,0,0,0
Tim Tebow,Denver Broncos,2010,0,0,0,0,0,1,0,1
Todd Blackledge,Kansas City Chiefs,1983,0,0,0,0,0,0,0,1
Todd Bouman,Undrafted,0,0,0,0,0,1,0,0,1
Todd Collins,Buffalo Bills,1995,0,0,0,0,0,0,0,1
Tom Savage,Houston Texans,2014,0,0,0,0,0,1,0,1
Tommy DeVito,Undrafted,2023,0,0,0,0,0,0,0,1
Tommy Maddox,Denver Broncos,1992,0,0,0,0,0,0,1,1
Tommy Rees,0,0,0,0,0,0,0,0,0,0
Tommy Stevens,Undrafted,2020,0,0,0,0,0,0,0,0
Tommy Thompson,Undrafted,0,0,0,0,0,1,0,0,1
Tommy Wade,Undrafted,0,0,0,0,0,0,0,0,1
Tony Adams,San Diego Chargers,1973,0,0,0,0,0,0,0,1
Trace McSorley,Baltimore Ravens,2019,0,0,0,0,0,1,0,1
Travis Partridge,0,0,0,0,0,0,0,0,0,0
Trent Edwards,Pittsburgh Steelers,1999,0,0,0,0,0,0,0,1
Trevone Boykin,Undrafted,2016,0,0,0,0,1,0,0,1
Trevor Knight,Undrafted,2017,0,0,0,0,0,0,0,0
Turk Schonert,Chicago Bears,1980,0,0,0,0,1,0,0,1
Ty Detmer,Green Bay Packers,1992,0,0,0,0,0,0,0,1
Tyler Bray,Undrafted,2015,0,0,0,0,0,1,0,1
Tyler Ferguson,Undrafted,0,0,0,0,0,0,0,0,0
Tyler Huntley,Undrafted,2020,0,0,0,0,0,1,0,0
Tyler Wilson,Oakland Raiders,2013,0,0,0,0,0,0,0,0
Tyree Jackson,Draft Finder,0,0,0,0,0,0,0,0,0
Tyson Bagent,Undrafted,2023,0,0,0,0,0,0,0,1
Vince Evans,Chicago Bears,1977,0,0,0,0,0,0,1,1
Wes Lunt,Undrafted,0,0,0,0,0,0,0,0,0
Will Grier,Carolina Panthers,2019,0,0,0,0,0,1,0,1
Will Levis,Tennessee Titans,2023,0,0,0,0,0,1,0,1
Wilton Speight,0,0,0,0,0,0,0,0,0,0
Zac Dysert,Denver Broncos,2013,0,0,0,0,0,1,0,0
Zac Robinson,New England Patriots,2010,0,0,0,0,0,0,0,0
Zach Mettenberger,Tennessee Titans,2014,0,0,0,0,0,1,0,1
Zach Terrell,Undrafted,0,0,0,0,0,0,0,0,0
Zach Wilson,New York Jets,2021,0,0,0,0,0,1,0,1
Zack Annexstad,0,0,0,0,0,0,0,0,0,0
